modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","baseline",true,false,2,1,0,1,1,6742,190,3773,0,32,5954,0.001609
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","scratchpad",true,false,10,9,1,5,1,21350,953,3022,0,2,37390,0.005216
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","baseline",true,false,3,15,0,15,2,17046,1675,8070,0,32,117487,0.004478
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","scratchpad",true,false,8,7,0,4,2,17472,1125,3302,0,2,66246,0.004387
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","baseline",true,false,3,2,0,2,1,12949,479,5730,0,32,39883,0.003130
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","scratchpad",true,false,8,7,2,2,1,16009,778,2674,0,2,30792,0.003933
"deepseek","deepseek/deepseek-v3.2","email-top-error","baseline",true,false,3,2,0,2,2,16416,688,7001,0,32,16890,0.003995
"deepseek","deepseek/deepseek-v3.2","email-top-error","scratchpad",true,false,26,25,5,12,2,98334,3326,6465,0,2,109586,0.023659
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","baseline",true,false,18,16,0,16,1,115696,2653,8923,1,32,145910,0.027404
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","scratchpad",false,false,31,30,0,36,1,118664,3184,6532,1,2,178248,0.028266
"glm","z-ai/glm-4.7-flash","count-open-prs","baseline",false,false,2,1,0,1,1,9485,200,6518,0,32,11138,0.000649
"glm","z-ai/glm-4.7-flash","count-open-prs","scratchpad",true,false,4,3,0,1,1,4898,226,1412,0,2,29279,0.000384
"glm","z-ai/glm-4.7-flash","sentry-billing-unresolved","baseline",true,false,2,1,0,1,1,6639,309,3669,0,32,10256,0.000522
"glm","z-ai/glm-4.7-flash","sentry-billing-unresolved","scratchpad",true,false,4,3,0,1,1,4780,312,1404,0,2,12766,0.000412
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","baseline",true,false,3,15,0,15,2,16489,1477,7455,0,32,31413,0.001580
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","scratchpad",true,false,5,6,0,2,2,7900,939,2171,0,2,31806,0.000850
"glm","z-ai/glm-4.7-flash","busiest-assignee","baseline",true,false,2,1,0,1,1,7219,332,4241,0,32,13959,0.000566
"glm","z-ai/glm-4.7-flash","busiest-assignee","scratchpad",true,false,7,6,2,1,1,9801,652,1746,0,2,19635,0.000849
"glm","z-ai/glm-4.7-flash","high-urgency-triggered","baseline",true,false,2,1,0,1,1,6207,171,3233,0,32,20486,0.000441
"glm","z-ai/glm-4.7-flash","high-urgency-triggered","scratchpad",false,false,6,5,2,1,1,7552,564,1484,0,2,18275,0.000679
"glm","z-ai/glm-4.7-flash","email-top-error","baseline",false,false,2,1,0,1,1,6003,151,3011,0,32,5290,0.000421
"glm","z-ai/glm-4.7-flash","email-top-error","scratchpad",false,false,4,3,0,1,1,4868,272,1385,0,2,14282,0.000401
"glm","z-ai/glm-4.7-flash","compose-verify-issues","baseline",true,false,3,16,0,16,1,16424,1438,7336,0,32,34030,0.001561
"glm","z-ai/glm-4.7-flash","compose-verify-issues","scratchpad",true,false,9,8,0,20,1,27343,1644,5882,0,2,59988,0.002298
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","baseline",false,false,2,1,0,1,1,11789,123,7971,0,32,6106,0.001272
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","scratchpad",true,false,4,3,0,1,1,5574,207,1611,0,2,7792,0.000643
"xiaomi","xiaomi/mimo-v2.5","sentry-billing-unresolved","baseline",true,false,2,1,0,1,1,8502,378,4681,0,32,6964,0.000999
"xiaomi","xiaomi/mimo-v2.5","sentry-billing-unresolved","scratchpad",true,false,4,3,0,1,1,5620,287,1669,0,2,8944,0.000670
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","baseline",true,false,3,15,0,15,2,20842,1680,9452,0,32,21098,0.002659
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","scratchpad",true,false,6,9,0,7,2,12018,956,3049,0,2,18198,0.001530
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","baseline",true,false,2,1,0,1,1,9220,344,5391,0,32,7163,0.001064
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","scratchpad",false,false,30,31,21,18,1,84429,2775,4133,0,2,72625,0.009642
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","baseline",true,false,2,1,0,1,1,7971,272,4146,0,32,4756,0.000913
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","scratchpad",false,false,30,31,21,22,1,80644,3288,3970,0,2,76683,0.009388
"xiaomi","xiaomi/mimo-v2.5","email-top-error","baseline",true,false,3,2,0,2,2,19450,443,7873,0,32,7780,0.002166
"xiaomi","xiaomi/mimo-v2.5","email-top-error","scratchpad",true,false,10,10,1,6,2,20560,1045,2931,0,2,23249,0.002451
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","baseline",true,false,3,16,0,16,1,20549,2736,9105,0,32,27686,0.002924
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","scratchpad",false,false,31,34,6,33,1,123080,9540,6933,1,2,152473,0.015595
