modelKey,model,scenario,order,pick,ok,errored,turns,evalCalls,repl,program,workflow,tokensIn,tokensOut,costUsd
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","A","workflow",1,0,4,3,0,0,3,13559,1129,0.001265
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","B","workflow",1,0,2,1,0,0,1,6673,819,0.000728
"glm","z-ai/glm-4.7-flash","reconcile-ghost-issues","A","workflow",0,0,2,1,0,0,1,6325,615,0.000625
"glm","z-ai/glm-4.7-flash","reconcile-ghost-issues","B","workflow",0,0,15,14,3,0,11,71414,4249,0.005984
"glm","z-ai/glm-4.7-flash","repo-health-report","A","workflow",1,0,2,1,0,0,1,6289,740,0.000673
"glm","z-ai/glm-4.7-flash","repo-health-report","B","workflow",0,0,3,2,0,0,2,9817,1268,0.001096
"glm","z-ai/glm-4.7-flash","incident-branch","A","workflow",1,0,7,6,0,0,6,25511,1220,0.002019
"glm","z-ai/glm-4.7-flash","incident-branch","B","workflow",1,0,3,2,0,0,2,9774,988,0.000982
"glm","z-ai/glm-4.7-flash","escalate-hot-services","A","repl",0,0,10,9,5,0,4,56508,2945,0.004568
"glm","z-ai/glm-4.7-flash","escalate-hot-services","B","workflow",1,0,5,4,0,0,4,20478,2633,0.002282
"glm","z-ai/glm-4.7-flash","incident-commander","A","workflow",0,0,15,14,0,0,14,78035,4558,0.006505
"glm","z-ai/glm-4.7-flash","incident-commander","B","repl",0,0,16,15,10,0,5,87378,4651,0.007103
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","A","repl",1,0,5,4,2,0,2,21560,1751,0.005538
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","B","repl",1,0,5,4,2,0,2,20403,1690,0.005252
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","A","workflow",1,0,8,7,3,0,4,44573,4199,0.011647
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","B","repl",1,0,5,4,3,0,1,21731,1636,0.005538
"deepseek","deepseek/deepseek-v3.2","repo-health-report","A","repl",1,0,4,3,2,0,1,15538,864,0.003855
"deepseek","deepseek/deepseek-v3.2","repo-health-report","B","repl",1,0,7,4,3,0,1,35576,1596,0.008694
"deepseek","deepseek/deepseek-v3.2","incident-branch","A","workflow",1,0,3,2,0,0,2,11096,952,0.002868
"deepseek","deepseek/deepseek-v3.2","incident-branch","B","workflow",1,0,5,4,0,0,4,20179,1528,0.005145
"deepseek","deepseek/deepseek-v3.2","escalate-hot-services","A","repl",1,0,12,7,4,0,3,69473,3599,0.017144
"deepseek","deepseek/deepseek-v3.2","escalate-hot-services","B","workflow",1,0,10,5,2,0,3,56932,3555,0.014257
"deepseek","deepseek/deepseek-v3.2","incident-commander","A","workflow",0,0,5,4,0,0,4,25660,3734,0.007157
"deepseek","deepseek/deepseek-v3.2","incident-commander","B","repl",1,0,4,2,1,0,1,16053,1468,0.004180
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","A","repl",1,0,3,2,1,0,1,10923,852,0.001385
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","B","repl",1,0,5,4,3,0,1,20789,1235,0.002529
