modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","jsrepl",true,false,2,1,0,1,1,5271,93,2660,0,1,4517,0.001239
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","jsrepl",true,false,4,3,1,1,1,12189,607,3580,0,1,22535,0.002999
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","jsrepl",true,false,10,9,1,7,2,52265,2259,7214,0,1,65217,0.012744
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","jsrepl",true,false,6,5,1,2,1,27489,1173,5719,0,1,43872,0.006697
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","jsrepl",true,false,8,7,1,4,1,37620,1306,6015,0,1,30908,0.009063
"deepseek","deepseek/deepseek-v3.2","email-top-error","jsrepl",true,false,11,10,6,3,2,41814,1964,5100,0,1,65656,0.010249
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","jsrepl",true,false,13,12,0,16,1,77181,2306,8177,0,1,56363,0.018465
"deepseek","deepseek/deepseek-v3.2","incident-branch","jsrepl",true,false,6,5,3,4,2,20580,1217,4247,0,1,35729,0.005130
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","jsrepl",true,false,6,5,3,1,1,20707,1242,4157,0,1,31185,0.005168
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","jsrepl",true,false,10,9,2,10,2,59426,2866,8785,0,1,94627,0.014592
"minimax3","minimax/minimax-m3","count-open-prs","jsrepl",true,false,2,1,0,1,1,5458,66,2766,0,1,2865,0.001717
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","jsrepl",true,false,2,1,0,1,1,5556,250,2861,0,1,3578,0.001967
"minimax3","minimax/minimax-m3","merged-prs-open-linear","jsrepl",true,false,5,4,0,10,2,15829,623,3561,0,1,10064,0.005496
"minimax3","minimax/minimax-m3","busiest-assignee","jsrepl",true,false,3,2,0,2,1,8496,236,2969,0,1,4229,0.002832
"minimax3","minimax/minimax-m3","high-urgency-triggered","jsrepl",true,false,2,1,0,1,1,5571,260,2872,0,1,3779,0.001983
"minimax3","minimax/minimax-m3","email-top-error","jsrepl",true,false,4,3,0,2,2,11689,551,3200,0,1,7936,0.004168
"minimax3","minimax/minimax-m3","compose-verify-issues","jsrepl",true,false,4,3,0,10,1,14083,840,4541,0,1,10516,0.005233
"minimax3","minimax/minimax-m3","incident-branch","jsrepl",true,false,3,2,0,2,2,8721,434,3058,0,1,5523,0.003137
"minimax3","minimax/minimax-m3","open-prs-breakdown","jsrepl",true,false,3,2,0,1,1,9046,388,3282,0,1,5251,0.003179
