modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","count-open-prs","scratchpad",true,false,2,1,0,1,1,3367,35,1732,0,2,4676,0.000175
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","sentry-billing-unresolved","scratchpad",true,false,2,1,0,1,1,3449,118,1811,0,2,2586,0.000195
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","scratchpad",true,false,3,2,0,2,2,5698,331,2253,0,2,5746,0.000348
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","scratchpad",true,false,2,1,0,1,1,3410,73,1764,0,2,1678,0.000184
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","high-urgency-triggered","scratchpad",true,false,2,1,0,1,1,3424,90,1782,0,2,1790,0.000188
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","email-top-error","scratchpad",true,false,4,3,0,2,2,7316,166,2011,0,2,9935,0.000397
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","compose-verify-issues","scratchpad",true,false,3,2,0,17,1,5384,130,1930,0,2,3483,0.000294
"qwen8b","qwen/qwen3-8b","count-open-prs","scratchpad",true,false,2,1,0,1,1,3359,513,1728,0,2,12002,0.000634
"qwen8b","qwen/qwen3-8b","sentry-billing-unresolved","scratchpad",true,false,3,3,1,2,1,5423,5678,2036,0,2,103002,0.003206
"qwen8b","qwen/qwen3-8b","merged-prs-open-linear","scratchpad",true,false,2,1,0,2,2,3758,6001,2114,0,2,101318,0.003151
"qwen8b","qwen/qwen3-8b","busiest-assignee","scratchpad",true,false,2,1,0,1,1,3410,1161,1768,0,2,22309,0.000932
"qwen8b","qwen/qwen3-8b","high-urgency-triggered","scratchpad",true,false,2,1,0,1,1,3465,1197,1827,0,2,18652,0.000954
"qwen8b","qwen/qwen3-8b","email-top-error","scratchpad",false,false,2,1,0,2,2,3521,3733,1865,0,2,61022,0.002102
"qwen8b","qwen/qwen3-8b","compose-verify-issues","scratchpad",true,false,3,4,1,20,1,5752,5125,2165,0,2,87106,0.002996
"dsflash","deepseek/deepseek-v4-flash","count-open-prs","scratchpad",true,false,2,1,0,1,1,3766,138,1951,0,2,6575,0.000364
"dsflash","deepseek/deepseek-v4-flash","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,6113,278,2253,0,2,8384,0.000600
"dsflash","deepseek/deepseek-v4-flash","merged-prs-open-linear","scratchpad",true,false,3,3,0,2,2,6827,835,2726,0,2,14379,0.000765
"dsflash","deepseek/deepseek-v4-flash","busiest-assignee","scratchpad",true,false,3,2,0,1,1,6070,270,2202,0,2,8316,0.000595
"dsflash","deepseek/deepseek-v4-flash","high-urgency-triggered","scratchpad",true,false,2,1,0,1,1,3855,171,2033,0,2,5289,0.000378
"dsflash","deepseek/deepseek-v4-flash","email-top-error","scratchpad",true,false,5,4,0,2,2,11214,629,2610,0,2,15643,0.001122
"dsflash","deepseek/deepseek-v4-flash","compose-verify-issues","scratchpad",true,false,7,7,0,18,1,20611,1060,4123,0,2,25560,0.002046
