modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lisp",true,false,2,1,0,1,1,4303,57,2302,0,2,17310,0.001005
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,4643,202,2428,0,2,10782,0.001133
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lisp",true,false,6,5,0,2,2,16734,889,3444,0,2,42797,0.004137
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lisp",true,false,6,5,0,1,1,16176,453,3036,0,2,25173,0.003860
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","lisp",true,false,4,3,0,1,1,9593,311,2570,0,2,17047,0.002303
"deepseek","deepseek/deepseek-v3.2","email-top-error","lisp",true,false,8,7,0,5,2,26145,869,4205,0,2,42087,0.006285
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","lisp",false,true,26,25,1,37,1,126940,2980,8591,1,2,180015,0.030091
"glm","z-ai/glm-4.7-flash","count-open-prs","lisp",true,false,2,1,0,1,1,4015,148,2023,0,2,20453,0.000300
"glm","z-ai/glm-4.7-flash","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,4119,285,2124,0,2,16400,0.000361
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","lisp",true,false,5,4,2,8,2,14306,1655,4687,0,2,67110,0.001520
"glm","z-ai/glm-4.7-flash","busiest-assignee","lisp",true,false,5,4,2,3,1,11597,804,2523,0,2,31386,0.001017
"glm","z-ai/glm-4.7-flash","high-urgency-triggered","lisp",true,false,2,1,0,1,1,4094,266,2095,0,2,7031,0.000352
"glm","z-ai/glm-4.7-flash","email-top-error","lisp",true,false,3,2,0,2,2,6557,600,2371,0,2,13501,0.000633
"glm","z-ai/glm-4.7-flash","compose-verify-issues","lisp",true,false,6,5,1,18,1,14386,896,3246,0,2,38754,0.001222
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","lisp",true,false,2,1,0,1,1,4274,126,2163,0,2,6216,0.000484
"xiaomi","xiaomi/mimo-v2.5","sentry-billing-unresolved","lisp",true,false,4,3,0,1,1,9461,292,2539,0,2,8627,0.001075
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","lisp",true,false,3,3,0,2,2,7735,702,3015,0,2,10642,0.001009
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","lisp",true,false,5,4,2,3,1,12326,458,2733,0,2,9572,0.001422
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","lisp",true,false,3,2,0,1,1,6874,244,2432,0,2,5888,0.000790
"xiaomi","xiaomi/mimo-v2.5","email-top-error","lisp",true,false,3,2,0,2,2,6922,345,2458,0,2,6228,0.000823
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","lisp",true,false,5,4,0,16,1,13853,534,3841,0,2,11853,0.001604
"minimax","minimax/minimax-m2.5","count-open-prs","lisp",true,false,2,1,0,1,1,4081,104,2068,0,2,3845,0.000540
"minimax","minimax/minimax-m2.5","sentry-billing-unresolved","lisp",true,false,3,2,0,1,1,6377,265,2232,0,2,5725,0.000892
"minimax","minimax/minimax-m2.5","merged-prs-open-linear","lisp",true,false,3,2,0,2,2,6773,611,2567,0,2,13664,0.001106
"minimax","minimax/minimax-m2.5","busiest-assignee","lisp",true,false,3,2,0,1,1,6708,301,2407,0,2,8568,0.000949
"minimax","minimax/minimax-m2.5","high-urgency-triggered","lisp",true,false,3,2,0,1,1,6273,229,2158,0,2,8163,0.000863
"minimax","minimax/minimax-m2.5","email-top-error","lisp",true,false,3,2,0,2,2,6619,419,2361,0,2,6309,0.000995
"minimax","minimax/minimax-m2.5","compose-verify-issues","lisp",true,false,6,5,0,16,1,14570,669,3281,0,2,14038,0.002070
"kimi","moonshotai/kimi-k2.5","count-open-prs","lisp",true,false,2,1,0,1,1,3706,116,1879,0,2,8631,0.001625
"kimi","moonshotai/kimi-k2.5","sentry-billing-unresolved","lisp",true,false,3,2,0,1,1,5728,294,1994,0,2,13019,0.002743
"kimi","moonshotai/kimi-k2.5","merged-prs-open-linear","lisp",true,false,10,9,2,2,2,27571,1482,3582,0,2,68095,0.013340
"kimi","moonshotai/kimi-k2.5","busiest-assignee","lisp",true,false,3,2,0,1,1,6104,289,2186,0,2,13931,0.002874
"kimi","moonshotai/kimi-k2.5","high-urgency-triggered","lisp",true,false,2,1,0,1,1,3771,268,1938,0,2,11714,0.001957
"kimi","moonshotai/kimi-k2.5","email-top-error","lisp",true,false,3,2,0,2,2,5925,408,2103,0,2,19087,0.003048
