modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","incident-commander","scratchpad",true,false,15,14,0,9,5,74904,1543,6343,0,2,73560,0.017682
"deepseek","deepseek/deepseek-v3.2","incident-commander","lisp",true,false,10,9,1,7,5,50659,1376,6097,0,2,58083,0.012073
"deepseek","deepseek/deepseek-v3.2","incident-commander","both",true,false,7,6,0,6,5,31052,937,5073,0,4,25840,0.007432
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","scratchpad",true,false,6,5,0,4,1,24527,768,4796,0,2,35718,0.005880
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","lisp",true,false,7,6,0,1,1,31542,712,5091,0,2,35082,0.007467
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","both",true,false,8,7,2,4,1,37205,1211,5445,0,4,59407,0.008935
"deepseek","deepseek/deepseek-v3.2","needle-sweep","scratchpad",false,false,8,7,0,6,3,34108,886,5109,0,2,44012,0.008115
"deepseek","deepseek/deepseek-v3.2","needle-sweep","lisp",false,false,2,1,0,3,3,8356,514,4529,0,2,20385,0.002090
"deepseek","deepseek/deepseek-v3.2","needle-sweep","both",false,false,5,4,1,3,3,20707,627,4505,0,4,14478,0.004957
"glm","z-ai/glm-4.7-flash","incident-commander","scratchpad",false,false,10,9,1,6,4,38027,1654,4356,0,2,52047,0.002943
"glm","z-ai/glm-4.7-flash","incident-commander","lisp",false,false,14,13,2,8,5,58076,1399,4882,0,2,47781,0.004044
"glm","z-ai/glm-4.7-flash","incident-commander","both",false,false,6,5,4,14,6,33821,5826,8717,0,4,92202,0.004360
"glm","z-ai/glm-4.7-flash","heavy-pr-audit","scratchpad",false,false,4,3,0,2,1,13451,1141,3580,0,2,24865,0.001263
"glm","z-ai/glm-4.7-flash","heavy-pr-audit","lisp",true,false,9,8,3,1,1,35980,1808,4449,0,2,45518,0.002882
"glm","z-ai/glm-4.7-flash","heavy-pr-audit","both",true,false,6,5,0,4,1,23186,833,4304,0,4,28624,0.001724
"glm","z-ai/glm-4.7-flash","needle-sweep","scratchpad",false,false,6,5,1,3,3,21163,986,3799,0,2,111302,0.001664
"glm","z-ai/glm-4.7-flash","needle-sweep","lisp",false,true,0,0,0,0,0,0,0,0,0,2,29393,0.000000
"glm","z-ai/glm-4.7-flash","needle-sweep","both",false,false,2,1,0,3,3,7081,532,3703,0,4,36954,0.000638
"xiaomi","xiaomi/mimo-v2.5","incident-commander","scratchpad",true,false,7,13,2,7,5,31600,1611,5398,0,2,32761,0.003769
"xiaomi","xiaomi/mimo-v2.5","incident-commander","lisp",true,false,7,6,3,12,5,33293,2187,5973,0,2,31627,0.004108
"xiaomi","xiaomi/mimo-v2.5","incident-commander","both",true,false,8,11,2,7,5,38400,1756,5527,0,4,29389,0.004524
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","scratchpad",true,false,5,4,0,3,1,18961,1141,4346,0,2,18470,0.002310
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","lisp",true,false,3,2,0,1,1,11581,750,4158,0,2,12040,0.001426
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","both",true,false,2,3,0,3,1,7558,385,3994,0,4,6181,0.000901
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","scratchpad",true,false,4,5,1,3,3,15611,743,4396,0,2,12387,0.001847
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","lisp",false,false,2,1,0,3,3,7679,927,4065,0,2,14327,0.001066
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","both",true,false,3,6,0,3,3,11814,663,4288,0,4,13115,0.001426
"minimax","minimax/minimax-m2.5","incident-commander","scratchpad",true,false,11,10,2,7,5,44091,2119,4787,0,2,37784,0.006308
"minimax","minimax/minimax-m2.5","incident-commander","lisp",false,false,31,30,11,25,5,164550,4457,6728,1,2,198928,0.021885
"minimax","minimax/minimax-m2.5","incident-commander","both",false,false,6,5,1,8,5,25512,1594,5215,0,4,35410,0.003827
"minimax","minimax/minimax-m2.5","heavy-pr-audit","scratchpad",false,false,3,2,0,1,1,10017,973,3572,0,2,9955,0.001669
"minimax","minimax/minimax-m2.5","heavy-pr-audit","lisp",true,false,3,2,0,1,1,11058,595,3916,0,2,11855,0.001613
"minimax","minimax/minimax-m2.5","heavy-pr-audit","both",false,false,4,3,1,2,1,14542,597,3932,0,4,6600,0.002032
"minimax","minimax/minimax-m2.5","needle-sweep","scratchpad",false,false,3,4,0,3,3,10785,735,3949,0,2,7133,0.001647
"minimax","minimax/minimax-m2.5","needle-sweep","lisp",false,false,2,1,0,3,3,7672,615,4149,0,2,6566,0.001216
"minimax","minimax/minimax-m2.5","needle-sweep","both",false,false,3,2,0,3,3,11092,691,3975,0,4,6424,0.001663
"kimi","moonshotai/kimi-k2.5","incident-commander","scratchpad",true,false,11,14,2,8,5,48739,2051,5230,0,2,55886,0.022430
"kimi","moonshotai/kimi-k2.5","incident-commander","lisp",true,false,6,5,1,6,5,24468,1031,4612,0,2,43344,0.011263
"kimi","moonshotai/kimi-k2.5","incident-commander","both",true,false,4,3,0,6,5,13766,996,3755,0,4,49797,0.007179
"kimi","moonshotai/kimi-k2.5","heavy-pr-audit","scratchpad",true,false,4,3,0,2,1,12941,717,3532,0,2,40192,0.006305
"kimi","moonshotai/kimi-k2.5","heavy-pr-audit","lisp",true,false,7,6,2,2,1,26034,1065,4291,0,2,81640,0.011919
"kimi","moonshotai/kimi-k2.5","heavy-pr-audit","both",true,false,6,5,0,2,1,20685,783,3931,0,4,72982,0.009342
"kimi","moonshotai/kimi-k2.5","needle-sweep","scratchpad",true,false,3,2,0,3,3,9930,689,3632,0,2,34991,0.005119
"kimi","moonshotai/kimi-k2.5","needle-sweep","lisp",false,false,2,1,0,3,3,7015,490,3685,0,2,45604,0.003623
"kimi","moonshotai/kimi-k2.5","needle-sweep","both",false,false,2,1,0,3,3,6461,342,3352,0,4,39280,0.003115
"kimi27","moonshotai/kimi-k2.7-code","incident-commander","scratchpad",true,false,12,11,3,8,5,52078,2201,5165,0,2,72833,0.046241
"kimi27","moonshotai/kimi-k2.7-code","incident-commander","lisp",false,false,4,3,0,2,2,15020,4521,4164,0,2,107186,0.026938
"kimi27","moonshotai/kimi-k2.7-code","incident-commander","both",true,false,9,10,2,9,5,38729,971,5215,0,4,39528,0.032058
"kimi27","moonshotai/kimi-k2.7-code","heavy-pr-audit","scratchpad",true,false,4,3,0,2,1,12746,328,3432,0,2,13159,0.010580
"kimi27","moonshotai/kimi-k2.7-code","heavy-pr-audit","lisp",true,false,4,3,1,2,1,14561,629,3982,0,2,19592,0.012977
"kimi27","moonshotai/kimi-k2.7-code","heavy-pr-audit","both",true,false,4,3,0,2,1,13841,317,3734,0,4,14932,0.011352
"kimi27","moonshotai/kimi-k2.7-code","needle-sweep","scratchpad",true,false,3,2,0,3,3,10028,775,3734,0,2,20439,0.010133
"kimi27","moonshotai/kimi-k2.7-code","needle-sweep","lisp",true,false,4,3,1,3,3,15189,1088,4198,0,2,36484,0.015048
"kimi27","moonshotai/kimi-k2.7-code","needle-sweep","both",true,false,3,2,0,3,3,11314,595,4257,0,4,15912,0.010455
"glm5","z-ai/glm-5","incident-commander","scratchpad",true,false,5,5,0,6,5,18104,1013,3967,0,2,29782,0.012807
"glm5","z-ai/glm-5","incident-commander","lisp",true,false,6,5,2,8,5,24982,1748,4866,0,2,42819,0.018345
"glm5","z-ai/glm-5","incident-commander","both",true,false,6,5,0,6,5,23227,1127,4285,0,4,33075,0.016100
"glm5","z-ai/glm-5","heavy-pr-audit","scratchpad",true,false,5,4,1,3,1,17121,558,3682,0,2,20715,0.011344
"glm5","z-ai/glm-5","heavy-pr-audit","lisp",true,false,3,2,0,1,1,11738,572,4543,0,2,21144,0.008141
"glm5","z-ai/glm-5","heavy-pr-audit","both",true,false,5,5,1,4,1,18645,704,4109,0,4,26223,0.012539
"glm5","z-ai/glm-5","needle-sweep","scratchpad",true,false,3,4,0,3,3,10755,621,3940,0,2,16799,0.007645
"glm5","z-ai/glm-5","needle-sweep","lisp",true,false,3,2,0,3,3,11384,866,4065,0,2,28123,0.008493
"glm5","z-ai/glm-5","needle-sweep","both",true,false,3,2,0,3,3,11333,446,4115,0,4,20724,0.007656
"minimax3","minimax/minimax-m3","incident-commander","scratchpad",true,false,6,6,0,6,5,24414,1114,4726,0,2,27710,0.008661
"minimax3","minimax/minimax-m3","incident-commander","lisp",true,false,6,6,1,6,5,27327,914,5176,0,2,16040,0.009295
"minimax3","minimax/minimax-m3","incident-commander","both",true,false,7,7,1,7,5,31297,1257,5234,0,4,21320,0.010897
"minimax3","minimax/minimax-m3","heavy-pr-audit","scratchpad",true,false,5,4,0,3,1,18647,716,4061,0,2,13686,0.006453
"minimax3","minimax/minimax-m3","heavy-pr-audit","lisp",true,false,5,4,1,3,1,22269,777,5050,0,2,13352,0.007613
"minimax3","minimax/minimax-m3","heavy-pr-audit","both",true,false,4,4,1,3,1,16280,762,4581,0,4,13104,0.005798
"minimax3","minimax/minimax-m3","needle-sweep","scratchpad",true,false,3,2,0,3,3,11834,356,4374,0,2,9751,0.003977
"minimax3","minimax/minimax-m3","needle-sweep","lisp",true,false,5,5,1,6,3,22334,1207,5299,0,2,18722,0.008149
"minimax3","minimax/minimax-m3","needle-sweep","both",true,false,3,2,0,3,3,12830,706,4801,0,4,10834,0.004696
"dsflash","deepseek/deepseek-v4-flash","incident-commander","scratchpad",true,false,6,12,0,6,5,28795,1629,5708,0,2,33622,0.002885
"dsflash","deepseek/deepseek-v4-flash","incident-commander","lisp",true,false,10,13,0,6,5,56102,2004,6723,0,2,47086,0.005410
"dsflash","deepseek/deepseek-v4-flash","incident-commander","both",true,false,5,8,0,6,5,25058,1577,5720,0,4,26731,0.002539
"dsflash","deepseek/deepseek-v4-flash","heavy-pr-audit","scratchpad",true,false,5,5,0,4,1,20299,1252,4788,0,2,23653,0.002052
"dsflash","deepseek/deepseek-v4-flash","heavy-pr-audit","lisp",true,false,5,5,0,1,1,20993,710,4588,0,2,18003,0.002017
