modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","pyrepl",true,false,9,8,1,2,1,34430,1076,4831,0,1,33405,0.008254
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","jsrepl",true,false,8,7,2,4,1,33130,1545,5408,0,1,61484,0.008117
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lispfns",true,false,5,4,0,2,1,15059,710,3836,0,1,32228,0.003692
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","pyrepl",true,false,13,12,1,11,1,63409,1366,6469,0,1,39106,0.014989
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","jsrepl",false,true,18,17,2,46,1,110259,5159,11406,1,1,150010,0.027019
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","lispfns",true,false,9,8,1,11,1,31307,1197,4727,0,1,34246,0.007580
"deepseek","deepseek/deepseek-v3.2","count-open-prs","pyrepl",true,false,4,3,0,2,1,12938,284,3603,0,1,14992,0.003060
"deepseek","deepseek/deepseek-v3.2","count-open-prs","jsrepl",true,false,3,2,0,1,1,8314,208,3008,0,1,11090,0.001975
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lispfns",true,false,4,3,0,2,1,10093,285,2833,0,1,14886,0.002409
"deepseek","deepseek/deepseek-v3.2","email-top-error","pyrepl",true,false,7,6,0,3,2,26267,846,4620,0,1,37668,0.006305
"deepseek","deepseek/deepseek-v3.2","email-top-error","jsrepl",true,false,9,8,3,3,2,36852,1919,5868,0,1,52367,0.009097
"deepseek","deepseek/deepseek-v3.2","email-top-error","lispfns",true,false,8,7,0,3,2,26211,1049,4106,0,1,48102,0.006362
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","pyrepl",true,false,6,5,0,2,1,19427,640,3782,0,1,28811,0.004668
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","jsrepl",true,false,7,6,3,2,1,21941,729,3798,0,1,37401,0.005275
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","lispfns",true,false,4,3,0,2,1,9952,340,2840,0,1,17358,0.002396
"deepseek","deepseek/deepseek-v3.2","incident-branch","pyrepl",true,false,8,7,0,3,2,28237,786,4273,0,1,37744,0.006736
"deepseek","deepseek/deepseek-v3.2","incident-branch","jsrepl",true,false,7,6,0,3,2,23732,652,4350,0,1,34397,0.005658
"deepseek","deepseek/deepseek-v3.2","incident-branch","lispfns",true,false,7,6,0,3,2,19667,643,3454,0,1,32168,0.004724
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","pyrepl",true,false,13,12,0,4,2,66520,1667,7239,0,1,76221,0.015805
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","jsrepl",true,false,13,12,6,12,2,70180,3660,8276,0,1,116331,0.017327
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lispfns",true,false,10,9,0,22,2,38256,1819,5998,0,1,65276,0.009385
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","pyrepl",true,false,4,3,0,2,1,12180,599,3310,0,1,25964,0.002995
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","jsrepl",true,false,7,6,3,2,1,23831,1342,4371,0,1,31000,0.005918
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","lispfns",true,false,4,3,0,2,1,10205,480,3046,0,1,20716,0.002502
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","pyrepl",false,true,16,15,7,16,2,96786,5677,10714,1,1,152488,0.024111
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","jsrepl",true,false,11,10,1,8,2,58058,3363,8667,0,1,88431,0.014449
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","lispfns",true,false,15,14,2,8,2,70573,2883,6997,0,1,93588,0.017150
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","pyrepl",true,false,6,5,0,4,1,20374,711,4002,0,1,24196,0.004910
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","jsrepl",true,false,4,3,0,2,1,12268,432,3583,0,1,11443,0.002958
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lispfns",true,false,4,3,0,2,1,10278,363,2997,0,1,26452,0.002478
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","pyrepl",true,false,5,4,1,2,1,16205,473,3734,0,1,52165,0.001834
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","jsrepl",true,false,6,5,0,4,1,18503,501,3596,0,1,63617,0.002083
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","lispfns",true,false,4,3,0,2,1,10068,320,2864,0,1,53000,0.001147
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","pyrepl",false,true,6,6,0,2,1,20239,906,4238,0,1,150005,0.002379
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","jsrepl",false,true,5,5,0,12,1,16072,689,4323,0,1,150002,0.001880
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","lispfns",false,true,8,9,0,10,1,25755,1064,4041,0,1,150002,0.003002
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","pyrepl",true,false,4,3,0,2,1,11332,209,3105,0,1,20260,0.001248
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","jsrepl",true,false,3,2,0,1,1,7670,217,2711,0,1,34455,0.000866
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","lispfns",true,false,3,2,0,1,1,6583,136,2301,0,1,15419,0.000729
"xiaomi","xiaomi/mimo-v2.5","email-top-error","pyrepl",true,false,7,7,2,4,2,22494,760,3666,0,1,116957,0.002575
"xiaomi","xiaomi/mimo-v2.5","email-top-error","jsrepl",true,false,5,4,0,3,2,14665,504,3488,0,1,61310,0.001681
"xiaomi","xiaomi/mimo-v2.5","email-top-error","lispfns",true,false,4,5,0,3,2,10047,425,2851,0,1,72435,0.001174
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","pyrepl",true,false,4,3,0,2,1,11059,418,3081,0,1,52858,0.001278
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","jsrepl",true,false,3,2,0,1,1,7784,311,2810,0,1,46209,0.000904
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","lispfns",true,false,5,4,0,2,1,11679,334,2570,0,1,42733,0.001320
"xiaomi","xiaomi/mimo-v2.5","incident-branch","pyrepl",true,false,5,4,0,2,2,15855,573,3813,0,1,54926,0.001825
"xiaomi","xiaomi/mimo-v2.5","incident-branch","jsrepl",true,false,4,5,0,3,2,12512,685,3632,0,1,124452,0.001506
"xiaomi","xiaomi/mimo-v2.5","incident-branch","lispfns",true,false,4,5,1,3,2,11438,804,3400,0,1,28972,0.001426
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","pyrepl",true,false,7,6,0,13,2,26421,1121,5216,0,1,37827,0.003088
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","jsrepl",true,false,10,9,0,14,2,40280,1385,5593,0,1,60221,0.004617
