modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","incident-commander","pyrepl",true,false,8,7,0,79,40,42130,1422,7464,0,1,44353,0.010136
"deepseek","deepseek/deepseek-v3.2","incident-commander","jsrepl",true,false,15,14,3,79,40,95581,2320,8771,0,1,35896,0.022684
"deepseek","deepseek/deepseek-v3.2","incident-commander","lispfns",true,false,11,10,0,79,40,52228,1288,6420,0,1,18441,0.012402
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","pyrepl",true,false,17,15,5,73,40,105149,3638,9801,1,1,123532,0.025327
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","jsrepl",true,false,8,7,2,75,40,43646,2299,7813,0,1,74157,0.010783
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","lispfns",true,false,8,7,1,74,40,37026,1469,5951,0,1,55971,0.008983
"deepseek","deepseek/deepseek-v3.2","needle-sweep","pyrepl",false,false,10,9,0,75,40,56083,1213,7559,0,1,52159,0.013259
"deepseek","deepseek/deepseek-v3.2","needle-sweep","jsrepl",false,false,14,13,2,78,40,88042,2381,8876,0,1,75955,0.020978
"deepseek","deepseek/deepseek-v3.2","needle-sweep","lispfns",false,false,6,5,0,75,40,25161,711,5399,0,1,27979,0.006006
"glm5","z-ai/glm-5","incident-commander","pyrepl",true,false,4,7,0,79,40,17414,1246,5823,0,1,23912,0.012841
"glm5","z-ai/glm-5","incident-commander","jsrepl",true,false,4,7,0,79,40,17209,1184,5820,0,1,23171,0.012599
"glm5","z-ai/glm-5","incident-commander","lispfns",true,false,4,7,0,79,40,14739,1221,4881,0,1,20852,0.011188
"glm5","z-ai/glm-5","heavy-pr-audit","pyrepl",true,false,5,4,1,73,40,20440,1168,5189,0,1,25688,0.014507
"glm5","z-ai/glm-5","heavy-pr-audit","jsrepl",true,false,4,4,0,73,40,15928,842,5228,0,1,21649,0.011173
"glm5","z-ai/glm-5","heavy-pr-audit","lispfns",true,false,5,6,0,73,40,18302,983,4690,0,1,23410,0.012869
"glm5","z-ai/glm-5","needle-sweep","pyrepl",true,false,4,5,0,75,40,16990,992,5783,0,1,25473,0.012099
"glm5","z-ai/glm-5","needle-sweep","jsrepl",true,false,3,5,0,75,40,12598,747,5475,0,1,20472,0.008993
"glm5","z-ai/glm-5","needle-sweep","lispfns",true,false,4,8,0,75,40,15893,1076,5342,0,1,23273,0.011602
"xiaomi","xiaomi/mimo-v2.5","incident-commander","pyrepl",true,false,7,6,1,79,40,40358,1976,7773,0,1,142500,0.004791
"xiaomi","xiaomi/mimo-v2.5","incident-commander","jsrepl",true,false,5,9,0,79,40,23867,1443,6537,0,1,64413,0.002910
"xiaomi","xiaomi/mimo-v2.5","incident-commander","lispfns",false,true,2,7,1,72,40,5759,324,3745,0,1,14963,0.000695
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","pyrepl",true,false,10,9,1,76,40,33694,1515,4470,0,1,114330,0.003962
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","jsrepl",true,false,6,6,1,73,40,24027,750,5529,0,1,52559,0.002733
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","lispfns",true,false,5,4,0,73,40,17935,478,4423,0,1,49887,0.002017
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","pyrepl",true,false,5,4,0,75,40,22348,1712,5812,0,1,111313,0.002826
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","jsrepl",true,false,5,6,1,75,40,21173,1606,5515,0,1,116615,0.002673
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","lispfns",true,false,7,10,1,78,40,31479,1712,6157,0,1,109878,0.003785
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","pyrepl",false,false,13,12,6,114,40,73189,2730,8347,0,1,24780,0.004178
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","jsrepl",true,false,25,23,11,81,40,129315,4551,8830,1,1,76213,0.007330
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","lispfns",false,false,15,14,4,72,40,65036,448,5291,0,1,8285,0.003337
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","pyrepl",false,false,5,4,0,73,40,20291,354,5025,0,1,3919,0.001082
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","jsrepl",false,false,25,24,21,72,40,124109,5860,7837,1,1,68348,0.007319
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","lispfns",true,false,7,6,0,73,40,26837,444,5008,0,1,4979,0.001426
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","pyrepl",false,false,6,5,0,78,40,25660,382,5601,0,1,4385,0.001356
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","jsrepl",false,false,15,14,7,75,40,81197,1810,6947,0,1,19664,0.004404
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","lispfns",false,false,15,14,6,88,40,69967,1411,5952,0,1,15588,0.003766
