modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","incident-commander","baseline",true,false,9,7,0,7,5,300183,832,44818,2,367,56426,0.069027
"deepseek","deepseek/deepseek-v3.2","incident-commander","scratchpad",true,false,17,16,1,11,5,88816,1797,6832,0,2,81868,0.020955
"deepseek","deepseek/deepseek-v3.2","incident-commander","pyrepl",true,false,8,6,0,79,40,148762,1054,21883,1,1,40128,0.034428
"deepseek","deepseek/deepseek-v3.2","incident-commander","jsrepl",true,false,10,8,3,79,40,192424,1681,22317,1,1,54672,0.044642
"deepseek","deepseek/deepseek-v3.2","incident-commander","lispfns",true,false,9,7,0,79,40,193067,1015,24598,1,1,57701,0.044560
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","baseline",true,false,3,6,0,6,1,136301,1217,46997,0,367,34302,0.031630
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","scratchpad",true,false,7,6,1,4,1,29084,902,4814,0,2,34086,0.006970
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","pyrepl",true,false,13,10,3,74,40,232987,1531,21683,2,1,79632,0.053879
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","jsrepl",true,false,3,2,1,73,40,63382,1196,21865,0,1,25939,0.014925
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","lispfns",true,false,10,8,3,73,40,218162,1063,24719,1,1,57448,0.050324
"deepseek","deepseek/deepseek-v3.2","needle-sweep","baseline",true,false,5,3,0,3,3,178215,778,48843,1,367,40706,0.041078
"deepseek","deepseek/deepseek-v3.2","needle-sweep","scratchpad",false,false,11,10,0,6,3,49911,1358,5740,0,2,65789,0.011895
"deepseek","deepseek/deepseek-v3.2","needle-sweep","pyrepl",true,false,9,7,1,76,40,171970,2194,22667,1,1,76790,0.040134
"deepseek","deepseek/deepseek-v3.2","needle-sweep","jsrepl",false,false,8,6,0,75,40,149092,1104,22325,1,1,63555,0.034521
"deepseek","deepseek/deepseek-v3.2","needle-sweep","lispfns",false,false,2,1,0,75,40,47647,437,24145,0,1,11854,0.011061
"glm5","z-ai/glm-5","incident-commander","baseline",true,false,5,7,0,7,5,184862,862,47133,1,367,52445,0.112572
"glm5","z-ai/glm-5","incident-commander","scratchpad",true,false,6,8,0,7,5,22851,1114,4406,0,2,30525,0.015849
"glm5","z-ai/glm-5","incident-commander","pyrepl",true,false,8,6,0,79,40,139178,860,20220,1,1,49859,0.085158
"glm5","z-ai/glm-5","incident-commander","jsrepl",true,false,8,6,0,79,40,139509,1161,20426,1,1,51365,0.085935
"glm5","z-ai/glm-5","incident-commander","lispfns",true,false,5,4,0,79,40,113272,1108,22908,0,1,38039,0.070091
"glm5","z-ai/glm-5","heavy-pr-audit","baseline",true,false,2,1,0,1,1,91729,1096,46726,0,367,20916,0.057142
"glm5","z-ai/glm-5","heavy-pr-audit","scratchpad",true,false,4,3,1,2,1,13609,656,3742,0,2,20972,0.009425
"glm5","z-ai/glm-5","heavy-pr-audit","pyrepl",true,false,6,5,1,73,40,118594,915,20218,0,1,34267,0.072913
"glm5","z-ai/glm-5","heavy-pr-audit","jsrepl",true,false,2,1,0,73,40,39098,445,19727,0,1,16312,0.024313
"glm5","z-ai/glm-5","heavy-pr-audit","lispfns",true,false,4,3,0,73,40,89565,450,22613,0,1,23682,0.054603
"glm5","z-ai/glm-5","needle-sweep","baseline",true,false,2,3,0,3,3,98464,1244,53439,0,367,29457,0.061467
"glm5","z-ai/glm-5","needle-sweep","scratchpad",true,false,3,2,0,3,3,10653,634,3922,0,2,19920,0.007609
"glm5","z-ai/glm-5","needle-sweep","pyrepl",true,false,3,4,0,78,40,60895,1103,20979,0,1,32342,0.038655
"glm5","z-ai/glm-5","needle-sweep","jsrepl",true,false,3,2,0,75,40,59571,1046,20291,0,1,28116,0.037751
"glm5","z-ai/glm-5","needle-sweep","lispfns",true,false,2,1,0,75,40,45126,839,22879,0,1,20822,0.028686
"xiaomi","xiaomi/mimo-v2.5","incident-commander","baseline",true,false,7,7,0,7,5,290065,969,59331,2,367,49941,0.030728
"xiaomi","xiaomi/mimo-v2.5","incident-commander","scratchpad",true,false,11,14,4,9,5,52626,1988,6220,0,2,31463,0.006082
"xiaomi","xiaomi/mimo-v2.5","incident-commander","pyrepl",true,false,10,8,1,79,40,182677,1238,20777,1,1,43912,0.019528
"xiaomi","xiaomi/mimo-v2.5","incident-commander","jsrepl",true,false,3,2,0,80,40,60673,1001,20913,0,1,14919,0.006651
"xiaomi","xiaomi/mimo-v2.5","incident-commander","lispfns",true,false,4,8,0,81,40,94430,1087,24321,0,1,17105,0.010220
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","baseline",true,false,2,1,0,1,1,115629,1113,58830,0,367,16083,0.012453
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","scratchpad",true,false,3,2,0,1,1,10755,458,3999,0,2,7754,0.001258
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","pyrepl",true,false,5,4,1,73,40,100985,1251,21007,0,1,28313,0.010954
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","jsrepl",true,false,2,1,0,73,40,39374,308,19872,0,1,7126,0.004221
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","lispfns",true,false,3,2,0,73,40,67797,462,22926,0,1,12083,0.007248
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","baseline",true,false,4,4,1,3,3,171097,499,57245,1,367,19908,0.018105
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","scratchpad",true,false,4,5,0,3,3,15501,858,4499,0,2,14106,0.001868
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","pyrepl",true,false,9,7,1,75,40,161194,1191,20920,1,1,32312,0.017259
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","jsrepl",false,false,7,5,2,75,40,123281,2269,21951,1,1,41452,0.013580
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","lispfns",true,false,5,4,2,78,40,115702,1578,23942,0,1,24686,0.012591
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","baseline",false,false,5,3,0,3,2,178962,136,45454,1,367,20915,0.008974
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","scratchpad",true,false,13,17,2,10,5,57864,875,5280,0,2,47920,0.003059
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","pyrepl",true,false,2,1,0,79,40,39613,345,20071,0,1,16901,0.002046
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","jsrepl",false,true,10,9,9,72,40,182374,3268,21076,1,1,150010,0.009740
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","lispfns",false,false,27,22,8,86,40,504974,2685,24017,5,1,108553,0.025759
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","baseline",false,false,3,6,0,6,2,132970,295,44674,0,367,8877,0.006705
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","scratchpad",false,false,6,5,1,2,1,20817,439,3872,0,2,9441,0.001124
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","pyrepl",false,false,2,1,0,73,40,39256,267,19808,0,1,5393,0.002014
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","jsrepl",true,false,14,11,9,74,40,238256,1607,20256,2,1,72668,0.012218
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","lispfns",false,false,8,6,2,76,40,164295,410,24501,1,1,13191,0.008293
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","baseline",false,false,11,11,2,9,3,358884,694,46385,3,367,40160,0.018076
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","scratchpad",false,false,3,2,0,3,3,10190,301,3663,0,2,4744,0.000567
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","pyrepl",false,false,2,1,0,78,40,39377,303,19909,0,1,4306,0.002026
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","jsrepl",false,false,14,11,10,75,40,243018,3172,21240,2,1,92385,0.012754
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","lispfns",false,false,25,20,18,76,40,485300,3294,23614,4,1,105751,0.024891
