modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","scratchpad",true,false,2,1,0,1,1,3731,98,1942,0,2,13230,0.000888
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","scratchpad",true,false,4,3,0,2,1,9034,524,2677,0,2,14715,0.002249
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","scratchpad",true,false,7,6,0,4,2,18063,1046,3821,0,2,55613,0.004495
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","scratchpad",true,false,3,2,0,1,1,6140,278,2282,0,2,13688,0.001501
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","scratchpad",true,false,5,4,1,3,1,10879,446,2528,0,2,21012,0.002644
"deepseek","deepseek/deepseek-v3.2","email-top-error","scratchpad",true,false,5,4,0,2,2,11440,551,2728,0,2,29005,0.002809
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","scratchpad",true,false,8,7,0,19,1,22215,925,3848,0,2,45576,0.005405
"glm","z-ai/glm-4.7-flash","count-open-prs","scratchpad",true,false,3,2,0,1,1,4990,194,1741,0,2,11046,0.000377
"glm","z-ai/glm-4.7-flash","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,5279,323,1917,0,2,10592,0.000446
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","scratchpad",true,false,3,2,0,2,2,6186,1580,2509,0,2,43702,0.001003
"glm","z-ai/glm-4.7-flash","busiest-assignee","scratchpad",true,false,3,2,0,1,1,5252,282,1886,0,2,8123,0.000428
"glm","z-ai/glm-4.7-flash","high-urgency-triggered","scratchpad",true,false,5,4,2,4,1,8762,514,1947,0,2,42284,0.000731
"glm","z-ai/glm-4.7-flash","email-top-error","scratchpad",true,false,4,3,0,2,2,7326,462,2010,0,2,11092,0.000624
"glm","z-ai/glm-4.7-flash","compose-verify-issues","scratchpad",false,false,2,1,0,0,0,3326,445,1699,0,2,11143,0.000378
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","scratchpad",true,false,2,1,0,1,1,3565,90,1835,0,2,5335,0.000400
"xiaomi","xiaomi/mimo-v2.5","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,5732,225,2087,0,2,6927,0.000665
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","scratchpad",true,false,2,1,0,2,2,3955,712,2212,0,2,8726,0.000615
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","scratchpad",true,false,3,2,0,1,1,5707,183,2049,0,2,5924,0.000650
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","scratchpad",true,false,2,1,0,1,1,3660,224,1923,0,2,5118,0.000447
"xiaomi","xiaomi/mimo-v2.5","email-top-error","scratchpad",true,false,4,3,0,2,2,7994,366,2220,0,2,11316,0.000942
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","scratchpad",true,false,6,6,0,17,1,13530,540,2676,0,2,15433,0.001572
"minimax","minimax/minimax-m2.5","count-open-prs","scratchpad",true,false,2,1,0,1,1,3283,111,1693,0,2,19191,0.000447
"minimax","minimax/minimax-m2.5","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,5363,373,1968,0,2,22038,0.000823
"minimax","minimax/minimax-m2.5","merged-prs-open-linear","scratchpad",true,false,2,1,0,2,2,3606,423,2004,0,2,16841,0.000636
"minimax","minimax/minimax-m2.5","busiest-assignee","scratchpad",true,false,3,2,0,1,1,5288,248,1906,0,2,7097,0.000754
"minimax","minimax/minimax-m2.5","high-urgency-triggered","scratchpad",true,false,2,1,0,1,1,3330,209,1733,0,2,13981,0.000500
"minimax","minimax/minimax-m2.5","email-top-error","scratchpad",true,false,3,2,0,2,2,5247,408,1880,0,2,13369,0.000825
"minimax","minimax/minimax-m2.5","compose-verify-issues","scratchpad",true,false,5,4,1,17,1,12858,1248,3406,0,2,18292,0.002142
"kimi","moonshotai/kimi-k2.5","count-open-prs","scratchpad",true,false,2,1,0,1,1,2872,123,1487,0,2,5681,0.001326
"kimi","moonshotai/kimi-k2.5","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,4667,291,1719,0,2,11091,0.002339
"kimi","moonshotai/kimi-k2.5","merged-prs-open-linear","scratchpad",true,false,3,3,0,2,2,5343,792,2177,0,2,30575,0.003607
"kimi","moonshotai/kimi-k2.5","busiest-assignee","scratchpad",true,false,3,2,0,1,1,4645,281,1684,0,2,14743,0.002311
"kimi","moonshotai/kimi-k2.5","high-urgency-triggered","scratchpad",true,false,3,2,0,1,1,4585,233,1662,0,2,9243,0.002191
"kimi","moonshotai/kimi-k2.5","email-top-error","scratchpad",true,false,5,4,1,2,2,8508,573,1962,0,2,20855,0.004351
"kimi","moonshotai/kimi-k2.5","compose-verify-issues","scratchpad",true,false,4,4,0,17,1,7887,576,2410,0,2,20280,0.004124
