sweep,rows,providers,naive_bytes,scratchpad_bytes,reduction,naive_tokens,scratchpad_tokens
payload,100,5,81182,22551,3.600,20296,5638
payload,500,5,405612,23075,17.578,101403,5769
payload,1000,5,811161,23152,35.036,202791,5788
payload,5000,5,4057384,23252,174.496,1014346,5813
payload,20000,5,16226216,23309,696.135,4056554,5828
payload,50000,5,40562985,23430,1731.241,10140747,5858
providers,1000,1,162166,4575,35.446,40542,1144
providers,1000,2,324353,9830,32.996,81089,2458
providers,1000,3,486699,14275,34.095,121675,3569
providers,1000,5,811161,23152,35.036,202791,5788
providers,1000,10,1622317,45381,35.749,405580,11346
