modelKey,model,scenario,lang,frameName,ok,errored,turns,toolCalls,evalCalls,discoveryCalls,singleCall,toolErrors,mcpRoundTrips,tokensIn,tokensOut,peakContextTokens,compactions,wallMs,costUsd
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","js","repl",1,0,4,6,1,5,1,0,12,14454,940,4544,0,12282,0.001243
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","js","program",0,0,4,6,1,5,1,0,12,12877,1023,3992,0,10662,0.001182
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","js","workflow",1,0,4,4,2,2,0,0,8,13091,1310,4179,0,17435,0.001309
"glm","z-ai/glm-4.7-flash","busiest-assignee","js","repl",0,0,4,3,2,1,0,0,2,11723,496,3339,0,7454,0.000902
"glm","z-ai/glm-4.7-flash","busiest-assignee","js","program",0,0,10,9,8,1,0,7,1,35251,1949,4306,0,30769,0.002895
"glm","z-ai/glm-4.7-flash","busiest-assignee","js","workflow",1,0,14,13,11,2,0,8,4,56431,2878,5262,0,47695,0.004537
"glm","z-ai/glm-4.7-flash","email-top-error","js","repl",1,0,4,5,1,4,1,0,3,11110,756,3277,0,7823,0.000969
"glm","z-ai/glm-4.7-flash","email-top-error","js","program",1,0,4,4,1,3,1,0,3,11414,913,3254,0,10849,0.001050
"glm","z-ai/glm-4.7-flash","email-top-error","js","workflow",1,0,11,10,6,4,0,4,5,37411,1722,4180,0,18023,0.002933
"glm","z-ai/glm-4.7-flash","incident-branch","js","repl",0,0,4,3,2,1,0,1,2,10712,504,2980,0,7224,0.000844
"glm","z-ai/glm-4.7-flash","incident-branch","js","program",1,0,10,9,9,0,0,3,2,29401,1226,3756,0,14980,0.002254
"glm","z-ai/glm-4.7-flash","incident-branch","js","workflow",1,0,5,6,2,4,0,1,3,16242,1017,3810,0,15193,0.001381
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","js","repl",0,0,14,14,11,3,0,4,2,64301,2495,7010,0,61755,0.015581
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","js","program",1,0,8,7,3,4,0,2,4,32779,2237,6527,0,82305,0.008274
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","js","workflow",1,0,9,8,3,5,0,2,4,41005,2040,6818,0,89832,0.010090
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","js","repl",1,0,9,8,6,2,0,2,3,43901,1642,6525,0,65009,0.010617
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","js","program",1,0,5,4,2,2,0,1,2,17746,981,4448,0,37104,0.004400
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","js","workflow",1,0,8,7,5,2,0,3,3,33094,1652,5468,0,65600,0.008145
"deepseek","deepseek/deepseek-v3.2","email-top-error","js","repl",1,0,10,9,5,4,0,3,3,39469,1711,5175,0,65773,0.009625
"deepseek","deepseek/deepseek-v3.2","email-top-error","js","program",1,0,9,8,5,3,0,4,3,35686,2240,5642,0,77646,0.008940
"deepseek","deepseek/deepseek-v3.2","email-top-error","js","workflow",1,0,8,7,4,3,0,3,3,32437,2287,5819,0,85756,0.008213
"deepseek","deepseek/deepseek-v3.2","incident-branch","js","repl",1,0,10,9,6,3,0,4,2,41943,1894,5796,0,74316,0.010255
"deepseek","deepseek/deepseek-v3.2","incident-branch","js","program",1,0,4,7,1,6,1,0,3,13987,753,4290,0,32170,0.003461
"deepseek","deepseek/deepseek-v3.2","incident-branch","js","workflow",1,0,6,5,1,4,1,0,3,20620,846,4344,0,29780,0.005012
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","js","repl",1,0,7,6,6,0,0,0,12,25884,1067,5057,0,40853,0.003017
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","js","program",1,0,7,9,3,6,0,0,32,27128,1162,5280,0,36155,0.003174
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","js","workflow",1,0,7,6,5,1,0,0,32,30374,1331,5751,0,34833,0.003562
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","js","repl",1,0,4,3,3,0,0,0,2,12013,453,3404,0,13446,0.001388
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","js","program",1,0,4,3,1,2,1,0,2,12210,331,3534,0,15413,0.001375
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","js","workflow",1,0,4,3,1,2,1,0,2,13062,655,3874,0,22993,0.001555
"xiaomi","xiaomi/mimo-v2.5","email-top-error","js","repl",1,0,5,4,4,0,0,0,3,16829,758,4092,0,22205,0.001979
"xiaomi","xiaomi/mimo-v2.5","email-top-error","js","program",1,0,4,4,1,3,1,0,3,12464,455,3611,0,14379,0.001436
"xiaomi","xiaomi/mimo-v2.5","email-top-error","js","workflow",1,0,4,5,1,4,1,0,3,13277,694,3930,0,20737,0.001588
"xiaomi","xiaomi/mimo-v2.5","incident-branch","js","repl",1,0,6,5,1,4,1,0,3,19194,795,3920,0,23804,0.002238
"xiaomi","xiaomi/mimo-v2.5","incident-branch","js","program",1,0,5,5,2,3,0,0,2,16419,497,3946,0,19887,0.001863
"xiaomi","xiaomi/mimo-v2.5","incident-branch","js","workflow",1,0,4,4,1,3,1,0,2,12965,514,3806,0,20100,0.001505
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","js","repl",1,0,7,6,1,5,1,0,4,24135,372,4391,0,7506,0.001277
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","js","program",1,0,5,4,1,3,1,0,4,15673,417,3918,0,14620,0.000863
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","js","workflow",0,0,7,6,1,5,1,0,4,24910,430,4434,0,9875,0.001327
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","js","repl",0,0,11,10,7,2,0,7,1,42374,1222,4952,0,17605,0.002351
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","js","program",1,0,6,5,3,2,0,2,2,19286,662,3891,0,13321,0.001090
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","js","workflow",1,0,11,10,8,2,0,7,2,43379,1749,5221,0,30990,0.002501
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","email-top-error","js","repl",0,0,11,10,7,3,0,6,2,37565,800,4132,0,51621,0.002030
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","email-top-error","js","program",0,0,14,14,12,2,0,12,1,58294,2532,5688,0,58923,0.003396
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","email-top-error","js","workflow",0,0,14,14,11,3,0,11,1,61129,2923,6246,0,41229,0.003612
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","js","repl",1,0,6,5,2,3,0,1,4,17028,349,3258,0,4189,0.000918
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","js","program",0,0,4,3,1,1,1,1,1,10335,162,2720,0,3212,0.000548
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","js","workflow",0,0,14,14,12,2,0,12,1,55365,2346,5293,0,21521,0.003214
