modelKey,model,scenario,lang,frameName,ok,errored,turns,toolCalls,evalCalls,discoveryCalls,singleCall,toolErrors,mcpRoundTrips,tokensIn,tokensOut,peakContextTokens,compactions,wallMs,costUsd
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","js","repl",1,0,2,1,1,0,1,0,22,7921,841,4249,0,21790,0.000812
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","js","program",0,0,2,1,1,0,1,0,22,7705,1249,4035,0,43665,0.000962
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","js","workflow",1,0,3,2,2,0,0,1,22,11965,1169,4250,0,55708,0.001185
"glm","z-ai/glm-4.7-flash","busiest-assignee","js","repl",1,0,2,1,1,0,1,0,13,7556,313,3886,0,8581,0.000579
"glm","z-ai/glm-4.7-flash","busiest-assignee","js","program",1,0,9,8,8,0,0,7,13,38499,1547,4956,0,124455,0.002929
"glm","z-ai/glm-4.7-flash","busiest-assignee","js","workflow",1,0,3,2,2,0,0,1,13,11852,381,4137,0,9963,0.000864
"glm","z-ai/glm-4.7-flash","email-top-error","js","repl",1,0,6,5,5,0,0,3,14,24495,873,4484,0,43879,0.001819
"glm","z-ai/glm-4.7-flash","email-top-error","js","program",1,0,2,1,1,0,1,0,14,7627,679,3945,0,75634,0.000729
"glm","z-ai/glm-4.7-flash","email-top-error","js","workflow",0,0,14,14,14,0,0,13,13,72040,3538,6266,0,48397,0.005738
"glm","z-ai/glm-4.7-flash","incident-branch","js","repl",0,0,4,3,3,0,0,2,13,16416,1198,4464,0,74358,0.001464
"glm","z-ai/glm-4.7-flash","incident-branch","js","program",0,0,5,4,4,0,0,3,13,20954,1096,4698,0,17014,0.001696
"glm","z-ai/glm-4.7-flash","incident-branch","js","workflow",1,0,2,1,1,0,1,0,14,8017,531,4161,0,38656,0.000693
"glm","z-ai/glm-4.7-flash","open-prs-breakdown","js","repl",1,0,3,2,2,0,0,1,13,11643,840,4106,0,14028,0.001035
"glm","z-ai/glm-4.7-flash","open-prs-breakdown","js","program",1,0,5,4,4,0,0,2,14,20328,1074,4454,0,21587,0.001649
"glm","z-ai/glm-4.7-flash","open-prs-breakdown","js","workflow",0,0,2,1,1,0,1,0,13,7816,554,4013,0,46062,0.000691
"glm","z-ai/glm-4.7-flash","needle-sweep","js","repl",1,0,2,1,1,0,1,0,15,7781,575,4071,0,11482,0.000697
"glm","z-ai/glm-4.7-flash","needle-sweep","js","program",0,0,2,1,1,0,1,0,15,7776,754,4068,0,9245,0.000768
"glm","z-ai/glm-4.7-flash","needle-sweep","js","workflow",0,0,3,2,2,0,0,1,15,12485,1036,4553,0,26756,0.001164
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","js","repl",1,0,6,5,5,0,0,2,17,31448,1896,7002,0,75057,0.007852
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","js","program",1,0,3,2,2,0,0,1,22,13538,954,5236,0,27516,0.003427
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","js","workflow",1,0,5,4,4,0,0,3,22,24983,1866,6120,0,47062,0.006361
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","js","repl",1,0,12,11,11,0,0,6,13,71220,2758,7641,0,102908,0.017255
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","js","program",1,0,3,2,2,0,0,1,13,13054,691,4748,0,21923,0.003226
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","js","workflow",1,0,7,6,5,1,0,4,13,41318,2201,7378,0,76983,0.010217
"deepseek","deepseek/deepseek-v3.2","email-top-error","js","repl",1,0,7,6,6,0,0,3,15,42345,1500,8064,0,55101,0.010212
"deepseek","deepseek/deepseek-v3.2","email-top-error","js","program",1,0,5,4,4,0,0,2,15,22535,969,5099,0,38579,0.005493
"deepseek","deepseek/deepseek-v3.2","email-top-error","js","workflow",1,0,4,3,3,0,0,2,14,19233,1362,5572,0,48915,0.004872
"deepseek","deepseek/deepseek-v3.2","incident-branch","js","repl",1,0,5,4,4,0,0,2,15,22985,714,5211,0,31633,0.005508
"deepseek","deepseek/deepseek-v3.2","incident-branch","js","program",1,0,6,5,5,0,0,4,14,29171,1601,5840,0,55087,0.007229
"deepseek","deepseek/deepseek-v3.2","incident-branch","js","workflow",1,0,3,2,2,0,0,1,14,13709,754,4999,0,27812,0.003398
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","js","repl",1,0,2,1,1,0,1,0,13,8380,381,4386,0,14227,0.002050
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","js","program",1,0,4,3,3,0,0,2,13,17536,833,5039,0,34696,0.004301
