modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","jsrepl",true,false,2,1,0,13,10,6979,89,3544,0,1,5085,0.001629
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lispfns",true,false,2,1,0,13,10,6406,90,3249,0,1,3542,0.001498
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","jsrepl",true,false,5,4,3,13,10,19488,783,4384,0,1,37385,0.004731
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lispfns",true,false,2,1,0,13,10,6536,145,3374,0,1,9062,0.001546
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","jsrepl",true,false,7,6,2,33,10,34803,2258,6664,0,1,85304,0.008744
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lispfns",true,false,11,10,3,22,10,44659,1273,5083,0,1,59817,0.010664
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","jsrepl",true,false,7,6,2,16,10,34115,2100,6513,0,1,76945,0.008533
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lispfns",true,false,2,1,0,13,10,6677,290,3510,0,1,16222,0.001629
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","jsrepl",true,false,2,1,0,13,10,7412,328,3970,0,1,13348,0.001810
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","lispfns",true,false,2,1,0,13,10,6638,228,3474,0,1,10583,0.001598
"deepseek","deepseek/deepseek-v3.2","email-top-error","jsrepl",true,false,7,6,0,18,10,32328,1588,5874,0,1,60719,0.007948
"deepseek","deepseek/deepseek-v3.2","email-top-error","lispfns",true,false,8,7,1,14,10,31477,886,4643,0,1,22065,0.007512
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","jsrepl",true,false,6,5,2,23,10,32921,1238,7523,0,1,34973,0.007964
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","lispfns",true,false,7,6,1,22,10,27436,804,4611,0,1,20216,0.006559
"deepseek","deepseek/deepseek-v3.2","incident-branch","jsrepl",true,false,5,4,1,14,10,20766,811,4714,0,1,34191,0.005034
"deepseek","deepseek/deepseek-v3.2","incident-branch","lispfns",true,false,5,4,1,14,10,17901,587,3941,0,1,27462,0.004301
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","jsrepl",true,false,3,2,1,13,10,11451,675,4225,0,1,26056,0.002854
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","lispfns",true,false,2,1,0,13,10,6653,207,3474,0,1,10072,0.001595
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","jsrepl",false,true,10,10,4,23,10,54711,3432,7852,0,1,150018,0.013706
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","lispfns",true,false,4,3,0,15,10,16042,1104,4826,0,1,44295,0.004052
"minimax3","minimax/minimax-m3","count-open-prs","jsrepl",true,false,2,1,0,13,10,6848,77,3461,0,1,3590,0.002147
"minimax3","minimax/minimax-m3","count-open-prs","lispfns",true,false,2,1,0,13,10,6294,81,3177,0,1,2619,0.001985
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","jsrepl",true,false,2,1,0,13,10,7009,320,3619,0,1,3824,0.002487
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","lispfns",false,false,2,1,0,13,10,6360,101,3240,0,1,2500,0.002029
"minimax3","minimax/minimax-m3","merged-prs-open-linear","jsrepl",true,false,4,3,0,22,10,15077,618,4152,0,1,8971,0.005265
"minimax3","minimax/minimax-m3","merged-prs-open-linear","lispfns",true,false,9,8,1,31,10,43654,1118,6814,0,1,20554,0.014438
"minimax3","minimax/minimax-m3","busiest-assignee","jsrepl",true,false,2,1,0,13,10,7013,262,3616,0,1,3866,0.002418
"minimax3","minimax/minimax-m3","busiest-assignee","lispfns",true,false,2,1,0,13,10,6386,171,3259,0,1,2846,0.002121
"minimax3","minimax/minimax-m3","high-urgency-triggered","jsrepl",true,false,2,1,0,13,10,6943,186,3549,0,1,3113,0.002306
"minimax3","minimax/minimax-m3","high-urgency-triggered","lispfns",true,false,2,1,0,13,10,6394,136,3270,0,1,2932,0.002081
"minimax3","minimax/minimax-m3","email-top-error","jsrepl",false,false,2,1,0,14,10,7145,358,3733,0,1,4707,0.002573
