modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","baseline",true,false,2,1,0,1,1,7701,87,4737,0,32,6995,0.001793
"deepseek","deepseek/deepseek-v3.2","count-open-prs","scratchpad",true,false,2,1,0,1,1,3834,98,1994,0,2,4599,0.000912
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lisp",true,false,2,1,0,1,1,4299,52,2298,0,2,5843,0.001002
"deepseek","deepseek/deepseek-v3.2","count-open-prs","jsrepl",true,false,2,1,0,1,1,4521,85,2315,0,1,5300,0.001064
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lispfns",true,false,2,1,0,1,1,4836,88,2463,0,1,5850,0.001138
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","baseline",true,false,2,1,0,1,1,6241,165,3272,0,32,7174,0.001486
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","scratchpad",true,false,4,3,0,2,1,8805,363,2518,0,2,18664,0.002141
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,4751,227,2536,0,2,12810,0.001166
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","jsrepl",true,false,2,1,0,1,1,4672,156,2461,0,1,5836,0.001123
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lispfns",true,false,2,1,0,1,1,5036,176,2658,0,1,9280,0.001214
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","baseline",true,false,3,10,0,10,2,13883,985,6110,0,32,41037,0.003517
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","scratchpad",true,false,7,6,0,8,2,20070,991,3927,0,2,31478,0.004936
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lisp",true,false,6,5,0,2,2,16145,805,3418,0,2,38883,0.003973
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","jsrepl",true,false,5,4,0,10,2,20372,1795,6226,0,1,72206,0.005281
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lispfns",true,false,13,12,0,2,2,63046,1819,7220,0,1,95223,0.015061
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","baseline",true,false,2,1,0,1,1,6705,209,3729,0,32,10962,0.001607
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","scratchpad",true,false,4,3,1,1,1,8764,394,2506,0,2,14912,0.002142
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lisp",true,false,6,5,0,1,1,16171,408,3225,0,2,22882,0.003843
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","jsrepl",true,false,10,9,5,4,1,38581,2710,5365,0,1,81018,0.009765
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lispfns",true,false,3,2,1,2,1,7953,458,2894,0,1,16137,0.001978
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","baseline",true,false,2,1,0,1,1,6335,149,3364,0,32,9008,0.001502
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","scratchpad",true,false,2,1,0,1,1,3953,156,2106,0,2,8813,0.000959
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","lisp",true,false,2,1,0,1,1,4732,201,2515,0,2,7333,0.001153
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","jsrepl",true,false,3,2,1,1,1,7231,393,2735,0,1,16618,0.001791
