modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lisp",true,false,2,1,0,1,1,4332,90,2212,0,2,7075,0.001023
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,4465,205,2340,0,2,7671,0.001093
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lisp",true,false,12,11,3,2,2,41015,1691,4861,0,2,73709,0.009972
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lisp",true,false,6,5,0,1,1,16262,556,3294,0,2,26666,0.003915
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","lisp",true,false,2,1,0,1,1,4461,221,2334,0,2,10252,0.001097
"deepseek","deepseek/deepseek-v3.2","email-top-error","lisp",true,false,8,7,0,3,2,24004,1095,3870,0,2,25684,0.005873
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","lisp",false,false,15,14,3,35,1,86858,3205,9329,0,2,132278,0.020990
"glm","z-ai/glm-4.7-flash","count-open-prs","lisp",true,false,2,1,0,1,1,3847,165,1939,0,2,7748,0.000297
"glm","z-ai/glm-4.7-flash","sentry-billing-unresolved","lisp",true,false,4,3,1,2,1,8110,1509,2131,0,2,56491,0.001090
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","lisp",false,false,4,3,1,3,1,8536,821,2443,0,2,26676,0.000841
"glm","z-ai/glm-4.7-flash","busiest-assignee","lisp",true,false,2,1,0,1,1,3961,236,2042,0,2,7901,0.000332
"glm","z-ai/glm-4.7-flash","high-urgency-triggered","lisp",true,false,3,2,0,1,1,6208,389,2190,0,2,11568,0.000528
"glm","z-ai/glm-4.7-flash","email-top-error","lisp",false,false,2,1,0,2,2,4122,528,2189,0,2,13623,0.000459
"glm","z-ai/glm-4.7-flash","compose-verify-issues","lisp",false,false,8,7,7,7,1,20296,5743,3135,0,2,137898,0.003515
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","lisp",true,false,3,2,0,1,1,7036,227,2531,0,2,7888,0.000802
"xiaomi","xiaomi/mimo-v2.5","sentry-billing-unresolved","lisp",true,false,3,2,0,1,1,6733,306,2420,0,2,7419,0.000793
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","lisp",true,false,6,5,3,8,2,16798,1166,3503,0,2,15500,0.002090
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","lisp",true,false,6,5,3,4,1,14588,608,2740,0,2,12645,0.001702
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","lisp",true,false,2,1,0,1,1,4390,424,2357,0,2,6800,0.000580
"xiaomi","xiaomi/mimo-v2.5","email-top-error","lisp",true,false,4,3,0,2,2,9463,512,2620,0,2,7612,0.001137
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","lisp",true,false,6,6,1,16,1,17091,920,3435,0,2,15973,0.002052
"minimax","minimax/minimax-m2.5","count-open-prs","lisp",true,false,2,1,0,1,1,3923,121,1989,0,2,10403,0.000529
"minimax","minimax/minimax-m2.5","sentry-billing-unresolved","lisp",true,false,3,2,0,1,1,6037,252,2094,0,2,16260,0.000845
"minimax","minimax/minimax-m2.5","merged-prs-open-linear","lisp",true,false,5,4,1,4,2,12491,912,3169,0,2,12374,0.001937
"minimax","minimax/minimax-m2.5","busiest-assignee","lisp",true,false,6,5,0,1,1,14311,550,2855,0,2,26981,0.001981
"minimax","minimax/minimax-m2.5","high-urgency-triggered","lisp",true,false,2,1,0,1,1,4165,171,2224,0,2,2727,0.000582
"minimax","minimax/minimax-m2.5","email-top-error","lisp",true,false,5,4,2,2,2,11211,879,2481,0,2,37925,0.001767
"minimax","minimax/minimax-m2.5","compose-verify-issues","lisp",true,false,5,4,1,16,1,11980,522,3592,0,2,18963,0.001688
"kimi","moonshotai/kimi-k2.5","count-open-prs","lisp",true,false,2,1,0,1,1,3536,122,1794,0,2,8409,0.001573
"kimi","moonshotai/kimi-k2.5","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,3624,340,1880,0,2,13554,0.002047
"kimi","moonshotai/kimi-k2.5","merged-prs-open-linear","lisp",false,false,4,3,2,6,2,8708,4963,2656,0,2,164579,0.013316
"kimi","moonshotai/kimi-k2.5","busiest-assignee","lisp",true,false,6,5,3,3,1,12974,701,2473,0,2,32248,0.006285
"kimi","moonshotai/kimi-k2.5","high-urgency-triggered","lisp",true,false,2,1,0,1,1,3657,271,1909,0,2,9796,0.001920
"kimi","moonshotai/kimi-k2.5","email-top-error","lisp",true,false,2,1,0,2,2,3707,379,1941,0,2,13080,0.002158
"kimi","moonshotai/kimi-k2.5","compose-verify-issues","lisp",true,false,4,3,0,16,1,10783,833,3699,0,2,36403,0.005730
"kimi27","moonshotai/kimi-k2.7-code","count-open-prs","lisp",true,false,2,1,0,1,1,3536,102,1794,0,2,4740,0.002974
"kimi27","moonshotai/kimi-k2.7-code","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,3616,275,1872,0,2,8901,0.003638
"kimi27","moonshotai/kimi-k2.7-code","merged-prs-open-linear","lisp",true,false,7,6,3,6,2,17132,889,3204,0,2,27651,0.015789
"kimi27","moonshotai/kimi-k2.7-code","busiest-assignee","lisp",true,false,3,2,0,1,1,5834,182,2086,0,2,7981,0.004954
"kimi27","moonshotai/kimi-k2.7-code","high-urgency-triggered","lisp",true,false,2,1,0,1,1,3616,197,1868,0,2,6423,0.003365
"kimi27","moonshotai/kimi-k2.7-code","email-top-error","lisp",true,false,4,3,1,4,2,8414,444,2421,0,2,13956,0.007780
"kimi27","moonshotai/kimi-k2.7-code","compose-verify-issues","lisp",true,false,3,2,0,16,1,6110,307,2352,0,2,11170,0.005596
"glm5","z-ai/glm-5","count-open-prs","lisp",true,false,2,1,0,1,1,3863,207,1947,0,2,8889,0.002715
"glm5","z-ai/glm-5","sentry-billing-unresolved","lisp",true,false,2,1,0,1,1,3947,227,2028,0,2,7285,0.002804
"glm5","z-ai/glm-5","merged-prs-open-linear","lisp",true,false,7,6,1,2,2,15368,793,2617,0,2,24459,0.010743
"glm5","z-ai/glm-5","busiest-assignee","lisp",true,false,3,2,0,1,1,6298,228,2217,0,2,7608,0.004217
"glm5","z-ai/glm-5","high-urgency-triggered","lisp",true,false,2,1,0,1,1,3931,222,2008,0,2,7133,0.002785
"glm5","z-ai/glm-5","email-top-error","lisp",true,false,3,2,0,2,2,6225,497,2206,0,2,11770,0.004689
"glm5","z-ai/glm-5","compose-verify-issues","lisp",true,false,6,5,0,16,1,16906,546,4159,0,2,18567,0.011192
"minimax3","minimax/minimax-m3","count-open-prs","lisp",true,false,2,1,0,1,1,4370,55,2214,0,2,6417,0.001377
