modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","polyglot",true,false,2,1,0,13,10,6812,102,3499,0,3,6128,0.001595
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","polyglot",true,false,2,1,0,13,10,6933,189,3615,0,3,8736,0.001652
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","polyglot",true,false,6,5,1,14,10,34770,1690,7641,0,3,64585,0.008542
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","polyglot",true,false,2,1,0,13,10,7103,386,3778,0,3,15680,0.001759
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","polyglot",true,false,2,1,0,13,10,6935,211,3615,0,3,9301,0.001660
"deepseek","deepseek/deepseek-v3.2","email-top-error","polyglot",true,false,3,2,0,14,10,16358,627,6827,0,3,23599,0.003961
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","polyglot",true,false,3,2,0,22,10,14605,675,6250,0,3,24873,0.003576
"deepseek","deepseek/deepseek-v3.2","incident-branch","polyglot",true,false,2,1,0,14,10,7291,417,3902,0,3,13364,0.001813
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","polyglot",true,false,3,2,1,13,10,10963,601,4019,0,3,22955,0.002717
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","polyglot",true,false,11,10,1,25,10,99581,4829,13253,0,3,106823,0.024460
"minimax3","minimax/minimax-m3","count-open-prs","polyglot",true,false,2,1,0,13,10,6653,71,3390,0,3,2634,0.002081
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","polyglot",true,false,2,1,0,13,10,6710,174,3444,0,3,4307,0.002222
"minimax3","minimax/minimax-m3","merged-prs-open-linear","polyglot",true,false,7,6,0,22,10,43797,908,7586,0,3,16911,0.014229
"minimax3","minimax/minimax-m3","busiest-assignee","polyglot",true,false,3,2,1,13,10,10265,304,3622,0,3,5305,0.003444
"minimax3","minimax/minimax-m3","high-urgency-triggered","polyglot",true,false,2,1,0,13,10,6727,189,3457,0,3,3719,0.002245
"minimax3","minimax/minimax-m3","email-top-error","polyglot",true,false,3,2,0,14,10,11788,442,4331,0,3,6697,0.004067
"minimax3","minimax/minimax-m3","compose-verify-issues","polyglot",true,false,3,2,0,22,10,11389,539,4352,0,3,6933,0.004064
"minimax3","minimax/minimax-m3","incident-branch","polyglot",true,false,3,2,0,15,10,10756,498,3822,0,3,9096,0.003824
"minimax3","minimax/minimax-m3","open-prs-breakdown","polyglot",true,false,2,1,0,13,10,6833,263,3549,0,3,3842,0.002365
"minimax3","minimax/minimax-m3","reconcile-ghost-issues","polyglot",false,false,25,25,15,32,10,138767,4342,9007,1,3,80589,0.046840
"glm5","z-ai/glm-5","count-open-prs","polyglot",true,false,2,1,0,13,10,7779,122,4744,0,3,7703,0.004902
"glm5","z-ai/glm-5","sentry-billing-unresolved","polyglot",true,false,2,1,0,13,10,6308,168,3270,0,3,5526,0.004107
"glm5","z-ai/glm-5","merged-prs-open-linear","polyglot",true,false,3,2,0,22,10,10615,755,4044,0,3,19447,0.007819
"glm5","z-ai/glm-5","busiest-assignee","polyglot",true,false,4,3,1,14,10,12941,450,3438,0,3,18730,0.008629
"glm5","z-ai/glm-5","high-urgency-triggered","polyglot",false,false,2,1,0,13,10,6234,213,3192,0,3,7177,0.004149
"glm5","z-ai/glm-5","email-top-error","polyglot",true,false,3,2,0,14,10,9734,401,3389,0,3,12492,0.006610
"glm5","z-ai/glm-5","compose-verify-issues","polyglot",true,false,3,2,0,22,10,10781,801,4135,0,3,20483,0.008007
"glm5","z-ai/glm-5","incident-branch","polyglot",true,false,3,2,0,14,10,9770,468,3426,0,3,14405,0.006761
"glm5","z-ai/glm-5","open-prs-breakdown","polyglot",true,false,2,1,0,13,10,6348,337,3291,0,3,8307,0.004456
"glm5","z-ai/glm-5","reconcile-ghost-issues","polyglot",true,false,5,4,1,18,10,20659,2099,5230,0,3,41223,0.016425
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","polyglot",true,false,2,1,0,13,10,6539,138,3362,0,3,6089,0.000725
"xiaomi","xiaomi/mimo-v2.5","sentry-billing-unresolved","polyglot",true,false,4,3,1,14,10,13966,486,3811,0,3,10017,0.001603
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","polyglot",true,false,5,4,0,14,10,26969,1090,6487,0,3,23543,0.003137
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","polyglot",true,false,4,3,1,14,10,14109,505,3805,0,3,12317,0.001623
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","polyglot",true,false,2,1,0,13,10,6595,231,3411,0,3,4400,0.000757
"xiaomi","xiaomi/mimo-v2.5","email-top-error","polyglot",true,false,2,1,0,14,10,6787,361,3585,0,3,7535,0.000814
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","polyglot",true,false,7,6,2,26,10,32518,1635,5918,0,3,23274,0.003872
"xiaomi","xiaomi/mimo-v2.5","incident-branch","polyglot",true,false,3,2,0,15,10,10545,454,3769,0,3,10278,0.001234
"xiaomi","xiaomi/mimo-v2.5","open-prs-breakdown","polyglot",true,false,5,4,1,13,10,18489,953,4236,0,3,19945,0.002208
"xiaomi","xiaomi/mimo-v2.5","reconcile-ghost-issues","polyglot",true,false,4,3,0,16,10,17904,1187,5566,0,3,19354,0.002212
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","count-open-prs","polyglot",false,false,3,2,1,13,10,11187,64,5075,0,3,2514,0.000572
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","sentry-billing-unresolved","polyglot",true,false,2,1,0,13,10,6267,113,3235,0,3,1495,0.000335
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","polyglot",true,false,2,1,0,22,10,6556,333,3514,0,3,3349,0.000391
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","polyglot",false,false,3,2,1,13,10,9698,370,3449,0,3,3798,0.000555
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","high-urgency-triggered","polyglot",true,false,3,2,1,13,10,9452,167,3306,0,3,3067,0.000504
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","email-top-error","polyglot",true,false,2,1,0,15,10,6467,233,3413,0,3,2832,0.000368
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","compose-verify-issues","polyglot",true,false,3,2,1,22,10,9749,298,3461,0,3,5689,0.000544
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","polyglot",true,false,4,3,2,14,10,14263,802,4069,0,3,8640,0.000866
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","open-prs-breakdown","polyglot",false,false,3,2,1,13,10,9589,247,3360,0,3,2865,0.000526
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","reconcile-ghost-issues","polyglot",false,false,4,3,2,14,10,14204,881,4118,0,3,9266,0.000878
"dsflash","deepseek/deepseek-v4-flash","count-open-prs","polyglot",true,false,2,1,0,13,10,6722,107,3443,0,3,5958,0.000624
"dsflash","deepseek/deepseek-v4-flash","sentry-billing-unresolved","polyglot",true,false,3,2,0,13,10,14385,296,5713,0,3,28899,0.001348
"dsflash","deepseek/deepseek-v4-flash","merged-prs-open-linear","polyglot",true,false,9,8,0,22,10,51051,1172,6692,0,3,39500,0.004806
"dsflash","deepseek/deepseek-v4-flash","busiest-assignee","polyglot",true,false,7,6,2,13,10,37395,653,6042,0,3,25502,0.003483
"dsflash","deepseek/deepseek-v4-flash","high-urgency-triggered","polyglot",true,false,2,1,0,13,10,7046,262,3733,0,3,12444,0.000681
"dsflash","deepseek/deepseek-v4-flash","email-top-error","polyglot",true,false,5,4,0,14,10,27319,525,6376,0,3,25549,0.002553
"dsflash","deepseek/deepseek-v4-flash","compose-verify-issues","polyglot",true,false,3,2,0,22,10,12334,1292,4972,0,3,18146,0.001343
"dsflash","deepseek/deepseek-v4-flash","incident-branch","polyglot",true,false,3,2,0,15,10,11262,490,4062,0,3,17086,0.001102
"dsflash","deepseek/deepseek-v4-flash","open-prs-breakdown","polyglot",true,false,5,4,1,13,10,25629,481,5775,0,3,17845,0.002393
"dsflash","deepseek/deepseek-v4-flash","reconcile-ghost-issues","polyglot",false,true,13,12,5,34,10,99819,4398,11441,1,3,163286,0.009775
