modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","polyglot",true,false,2,1,0,13,10,6405,64,3485,0,3,5799,0.001489
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","polyglot",true,false,2,1,0,13,10,6917,175,3599,0,3,8631,0.001644
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","polyglot",true,false,3,2,0,14,10,12833,978,4973,0,3,36172,0.003274
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","polyglot",true,false,4,3,2,14,10,15249,887,4339,0,3,35085,0.003796
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","polyglot",true,false,2,1,0,13,10,7349,364,4029,0,3,14888,0.001808
"deepseek","deepseek/deepseek-v3.2","email-top-error","polyglot",true,false,4,3,1,15,10,15910,984,4632,0,3,37321,0.003981
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","polyglot",true,false,10,9,3,30,10,58196,2829,7891,0,3,105769,0.014297
"deepseek","deepseek/deepseek-v3.2","incident-branch","polyglot",true,false,3,2,0,14,10,10935,424,3926,0,3,17430,0.002650
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","polyglot",true,false,2,1,0,13,10,7089,350,3754,0,3,13736,0.001743
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","polyglot",true,false,5,4,1,14,10,29914,1989,8277,0,3,44806,0.007533
"minimax3","minimax/minimax-m3","count-open-prs","polyglot",true,false,2,1,0,13,10,6655,76,3391,0,3,2718,0.002088
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","polyglot",true,false,2,1,0,13,10,6713,161,3446,0,3,2935,0.002207
"minimax3","minimax/minimax-m3","merged-prs-open-linear","polyglot",true,false,4,3,0,22,10,15410,613,4389,0,3,10807,0.005359
"minimax3","minimax/minimax-m3","busiest-assignee","polyglot",true,false,4,3,1,14,10,14070,382,3860,0,3,7399,0.004679
"minimax3","minimax/minimax-m3","high-urgency-triggered","polyglot",true,false,2,1,0,13,10,6741,156,3470,0,3,3389,0.002209
"minimax3","minimax/minimax-m3","email-top-error","polyglot",true,false,3,2,0,14,10,10515,333,3675,0,3,5361,0.003554
"minimax3","minimax/minimax-m3","compose-verify-issues","polyglot",true,false,4,3,0,24,10,16066,855,5183,0,3,12679,0.005846
"minimax3","minimax/minimax-m3","incident-branch","polyglot",true,false,2,1,0,14,10,6999,484,3660,0,3,7277,0.002680
"minimax3","minimax/minimax-m3","open-prs-breakdown","polyglot",true,false,6,5,1,13,10,22702,1339,4227,0,3,20036,0.008417
"minimax3","minimax/minimax-m3","reconcile-ghost-issues","polyglot",false,false,25,26,11,15,10,139716,5954,8539,1,3,111134,0.049060
"glm5","z-ai/glm-5","count-open-prs","polyglot",true,false,2,1,0,13,10,6171,115,3137,0,3,10089,0.003923
"glm5","z-ai/glm-5","sentry-billing-unresolved","polyglot",true,false,2,1,0,13,10,6227,168,3190,0,3,11415,0.004059
"glm5","z-ai/glm-5","merged-prs-open-linear","polyglot",true,false,6,5,1,22,10,30155,1168,6268,0,3,36851,0.020336
"glm5","z-ai/glm-5","busiest-assignee","polyglot",true,false,2,1,0,13,10,6256,234,3211,0,3,9210,0.004203
"glm5","z-ai/glm-5","high-urgency-triggered","polyglot",true,false,2,1,0,13,10,6236,209,3195,0,3,7475,0.004143
"glm5","z-ai/glm-5","email-top-error","polyglot",true,false,3,2,0,14,10,9727,479,3388,0,3,14926,0.006756
"glm5","z-ai/glm-5","compose-verify-issues","polyglot",true,false,5,4,0,22,10,17480,1067,3887,0,3,29293,0.012537
"glm5","z-ai/glm-5","incident-branch","polyglot",true,false,3,2,0,14,10,10267,471,3651,0,3,18604,0.007065
"glm5","z-ai/glm-5","open-prs-breakdown","polyglot",true,false,3,2,1,13,10,9700,494,3443,0,3,18547,0.006768
"glm5","z-ai/glm-5","reconcile-ghost-issues","polyglot",true,false,6,5,0,16,10,23681,1842,4870,0,3,46337,0.017745
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","polyglot",true,false,3,2,1,13,10,9901,173,3429,0,3,8226,0.001088
"xiaomi","xiaomi/mimo-v2.5","sentry-billing-unresolved","polyglot",true,false,2,1,0,13,10,6568,146,3389,0,3,4347,0.000731
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","polyglot",true,false,7,6,1,22,10,41843,1428,8214,0,3,26767,0.004793
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","polyglot",true,false,4,3,1,13,10,13656,393,3637,0,3,8483,0.001544
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","polyglot",true,false,2,1,0,13,10,6558,215,3375,0,3,6028,0.000749
"xiaomi","xiaomi/mimo-v2.5","email-top-error","polyglot",true,false,3,2,0,14,10,10365,379,3677,0,3,7552,0.001194
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","polyglot",true,false,3,2,0,23,10,10869,769,4055,0,3,10946,0.001357
"xiaomi","xiaomi/mimo-v2.5","incident-branch","polyglot",true,false,2,1,0,14,10,6822,276,3571,0,3,5366,0.000794
"xiaomi","xiaomi/mimo-v2.5","open-prs-breakdown","polyglot",true,false,3,2,1,13,10,10434,512,3780,0,3,12690,0.001239
"xiaomi","xiaomi/mimo-v2.5","reconcile-ghost-issues","polyglot",true,false,2,1,0,14,10,7301,784,4093,0,3,11276,0.000986
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","count-open-prs","polyglot",true,false,3,2,1,13,10,9311,73,3201,0,3,2310,0.000479
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","sentry-billing-unresolved","polyglot",true,false,2,1,0,13,10,6240,97,3209,0,3,2018,0.000330
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","polyglot",true,false,2,1,0,22,10,6504,303,3463,0,3,5704,0.000383
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","polyglot",true,false,4,3,2,13,10,13438,560,3725,0,3,10183,0.000778
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","high-urgency-triggered","polyglot",false,false,2,1,0,13,10,6238,101,3203,0,3,1992,0.000331
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","email-top-error","polyglot",true,false,2,1,0,14,10,6414,206,3361,0,3,3800,0.000360
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","compose-verify-issues","polyglot",true,false,4,3,2,22,10,13812,598,3927,0,3,12158,0.000804
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","polyglot",true,false,4,3,2,14,10,13960,715,3916,0,3,11033,0.000834
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","open-prs-breakdown","polyglot",false,false,2,1,0,13,10,6316,149,3266,0,3,2884,0.000344
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","reconcile-ghost-issues","polyglot",false,false,4,3,2,14,10,13948,753,3988,0,3,11418,0.000840
"dsflash","deepseek/deepseek-v4-flash","count-open-prs","polyglot",true,false,2,1,0,13,10,6670,86,3364,0,3,6723,0.000616
"dsflash","deepseek/deepseek-v4-flash","sentry-billing-unresolved","polyglot",true,false,3,2,0,14,10,10508,308,3764,0,3,8048,0.001001
"dsflash","deepseek/deepseek-v4-flash","merged-prs-open-linear","polyglot",true,false,11,10,2,22,10,48350,1789,6149,0,3,73111,0.004674
"dsflash","deepseek/deepseek-v4-flash","busiest-assignee","polyglot",true,false,2,1,0,13,10,6839,172,3521,0,3,11024,0.000646
"dsflash","deepseek/deepseek-v4-flash","high-urgency-triggered","polyglot",true,false,3,2,0,13,10,10408,386,3648,0,3,11404,0.001006
"dsflash","deepseek/deepseek-v4-flash","email-top-error","polyglot",true,false,4,3,0,14,10,15751,379,4295,0,3,17226,0.001486
"dsflash","deepseek/deepseek-v4-flash","compose-verify-issues","polyglot",true,false,4,3,0,23,10,19835,1475,5797,0,3,26382,0.002051
"dsflash","deepseek/deepseek-v4-flash","incident-branch","polyglot",true,false,4,3,0,14,10,15319,351,4134,0,3,22509,0.001442
"dsflash","deepseek/deepseek-v4-flash","open-prs-breakdown","polyglot",true,false,4,3,1,13,10,14136,388,3771,0,3,14999,0.001342
"dsflash","deepseek/deepseek-v4-flash","reconcile-ghost-issues","polyglot",false,false,17,16,10,26,10,119445,2800,14053,1,3,135702,0.011254
