modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","incident-commander","scratchpad",false,false,31,30,3,17,5,102898,2975,6307,1,2,179244,0.024584
"deepseek","deepseek/deepseek-v3.2","incident-commander","lisp",false,false,31,30,8,15,4,115305,2885,6408,1,2,177128,0.027394
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","scratchpad",true,false,10,9,0,6,1,25052,1307,3733,0,2,61050,0.006185
"deepseek","deepseek/deepseek-v3.2","heavy-pr-audit","lisp",true,false,10,9,1,2,1,35483,1088,6124,0,2,53635,0.008499
"deepseek","deepseek/deepseek-v3.2","needle-sweep","scratchpad",true,false,11,10,0,6,3,25133,1007,3250,0,2,26976,0.006101
"deepseek","deepseek/deepseek-v3.2","needle-sweep","lisp",false,false,10,9,1,4,3,25920,1074,3568,0,2,27158,0.006304
"glm","z-ai/glm-4.7-flash","incident-commander","scratchpad",false,false,20,19,7,10,4,49171,2628,3891,0,2,215993,0.004001
"glm","z-ai/glm-4.7-flash","incident-commander","lisp",false,false,30,28,13,12,5,97809,3695,5811,1,2,118726,0.007347
"glm","z-ai/glm-4.7-flash","heavy-pr-audit","scratchpad",true,false,8,8,1,6,2,12916,1445,2255,0,2,61743,0.001353
"glm","z-ai/glm-4.7-flash","heavy-pr-audit","lisp",true,false,10,9,1,1,1,18311,1028,2350,0,2,32923,0.001510
"glm","z-ai/glm-4.7-flash","needle-sweep","scratchpad",false,false,6,5,0,3,3,8428,991,2000,0,2,21635,0.000902
"glm","z-ai/glm-4.7-flash","needle-sweep","lisp",false,false,5,4,0,1,1,7724,477,1993,0,2,7572,0.000654
"xiaomi","xiaomi/mimo-v2.5","incident-commander","scratchpad",true,false,10,16,6,7,5,25078,2199,4291,0,2,33114,0.003249
"xiaomi","xiaomi/mimo-v2.5","incident-commander","lisp",true,false,17,21,8,11,5,54993,3052,4481,0,2,53958,0.006629
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","scratchpad",true,false,5,7,0,4,1,8071,597,2352,0,2,11119,0.001015
"xiaomi","xiaomi/mimo-v2.5","heavy-pr-audit","lisp",true,false,4,3,0,1,1,6334,556,2190,0,2,9526,0.000821
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","scratchpad",true,false,6,9,0,6,3,10099,845,2522,0,2,13607,0.001297
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","lisp",true,false,6,7,2,4,3,13274,1173,3142,0,2,18001,0.001722
"minimax","minimax/minimax-m2.5","incident-commander","scratchpad",false,false,18,17,2,9,5,50852,2891,4311,0,2,52944,0.007490
"minimax","minimax/minimax-m2.5","incident-commander","lisp",false,false,31,30,20,19,3,99161,4447,5059,1,2,123114,0.014034
"minimax","minimax/minimax-m2.5","heavy-pr-audit","scratchpad",true,false,9,8,0,6,1,15418,1928,2522,0,2,48433,0.002776
"minimax","minimax/minimax-m2.5","heavy-pr-audit","lisp",true,false,7,6,1,1,1,12218,1004,2399,0,2,31853,0.001948
"minimax","minimax/minimax-m2.5","needle-sweep","scratchpad",false,false,11,10,0,6,3,19329,934,2408,0,2,21901,0.002768
"minimax","minimax/minimax-m2.5","needle-sweep","lisp",false,false,10,9,1,4,3,20864,998,2656,0,2,34537,0.002983
"kimi","moonshotai/kimi-k2.5","incident-commander","scratchpad",false,false,9,8,1,8,5,19063,1494,3091,0,2,140486,0.010174
"kimi","moonshotai/kimi-k2.5","incident-commander","lisp",false,true,20,20,13,19,2,62153,3151,4751,0,2,240020,0.029688
"kimi","moonshotai/kimi-k2.5","heavy-pr-audit","scratchpad",false,false,6,5,1,2,1,7458,639,1686,0,2,54164,0.004091
"kimi","moonshotai/kimi-k2.5","heavy-pr-audit","lisp",true,false,4,4,0,1,1,5841,743,2144,0,2,50279,0.003695
"kimi","moonshotai/kimi-k2.5","needle-sweep","scratchpad",false,false,4,7,0,3,3,4809,666,1828,0,2,30975,0.003152
"kimi","moonshotai/kimi-k2.5","needle-sweep","lisp",true,false,4,5,0,3,3,6316,865,2485,0,2,33058,0.004120
"kimi27","moonshotai/kimi-k2.7-code","incident-commander","scratchpad",true,false,14,19,1,12,5,38651,1266,4091,0,2,46239,0.033033
"kimi27","moonshotai/kimi-k2.7-code","incident-commander","lisp",false,false,31,30,14,11,2,99551,1636,5481,1,2,99617,0.079394
"kimi27","moonshotai/kimi-k2.7-code","heavy-pr-audit","scratchpad",true,false,8,8,0,5,1,15555,588,3126,0,2,26947,0.013569
"kimi27","moonshotai/kimi-k2.7-code","heavy-pr-audit","lisp",true,false,5,4,1,2,1,6994,638,1969,0,2,28201,0.007409
"kimi27","moonshotai/kimi-k2.7-code","needle-sweep","scratchpad",true,false,5,5,0,3,3,6233,530,1821,0,2,21618,0.006467
"kimi27","moonshotai/kimi-k2.7-code","needle-sweep","lisp",true,false,8,7,1,3,3,14119,698,2642,0,2,28338,0.012891
"glm5","z-ai/glm-5","incident-commander","scratchpad",true,false,6,11,0,7,5,11402,1191,2850,0,2,48860,0.009128
"glm5","z-ai/glm-5","incident-commander","lisp",true,false,11,16,3,7,5,30910,2169,4906,0,2,90515,0.022710
"glm5","z-ai/glm-5","heavy-pr-audit","scratchpad",false,false,6,7,0,3,1,9061,678,2110,0,2,33176,0.006738
"glm5","z-ai/glm-5","heavy-pr-audit","lisp",true,false,6,7,1,1,1,9100,425,2124,0,2,29724,0.006276
"glm5","z-ai/glm-5","needle-sweep","scratchpad",false,false,4,6,0,3,3,5486,572,2083,0,2,25236,0.004390
"glm5","z-ai/glm-5","needle-sweep","lisp",true,false,5,9,3,6,3,9348,1063,3467,0,2,33149,0.007650
"minimax3","minimax/minimax-m3","incident-commander","scratchpad",true,false,14,24,4,15,5,49541,2486,5796,0,2,36296,0.017846
"minimax3","minimax/minimax-m3","incident-commander","lisp",true,false,29,27,8,13,5,130166,2641,8306,1,2,69875,0.042219
"minimax3","minimax/minimax-m3","heavy-pr-audit","scratchpad",true,false,5,4,0,2,1,8244,640,2263,0,2,11485,0.003241
"minimax3","minimax/minimax-m3","heavy-pr-audit","lisp",true,false,10,9,3,3,1,34038,688,5829,0,2,19885,0.011037
"minimax3","minimax/minimax-m3","needle-sweep","scratchpad",false,false,5,4,0,3,3,8476,717,2252,0,2,11588,0.003403
"minimax3","minimax/minimax-m3","needle-sweep","lisp",true,false,13,28,13,15,3,41225,1817,5838,0,2,30452,0.014548
"dsflash","deepseek/deepseek-v4-flash","incident-commander","scratchpad",true,false,9,17,0,7,5,29408,2556,4697,0,2,49440,0.003107
"dsflash","deepseek/deepseek-v4-flash","incident-commander","lisp",true,false,13,20,3,10,5,72375,2821,7665,0,2,59939,0.007022
"dsflash","deepseek/deepseek-v4-flash","heavy-pr-audit","scratchpad",true,false,5,9,0,6,1,9354,960,2896,0,2,22417,0.001015
"dsflash","deepseek/deepseek-v4-flash","heavy-pr-audit","lisp",true,false,7,6,0,3,1,16308,945,3451,0,2,27770,0.001638
"dsflash","deepseek/deepseek-v4-flash","needle-sweep","scratchpad",true,false,5,10,0,6,3,9675,1128,2860,0,2,20907,0.001074
"dsflash","deepseek/deepseek-v4-flash","needle-sweep","lisp",true,false,12,24,5,11,3,98718,5140,13686,0,2,80471,0.009810
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","scratchpad",false,false,14,15,2,11,4,27554,764,3211,0,2,10967,0.001523
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","lisp",false,false,31,30,27,77,2,121880,8780,8019,1,2,99643,0.007762
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","scratchpad",false,false,7,6,2,0,0,6590,331,1159,0,2,4202,0.000392
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","heavy-pr-audit","lisp",false,false,4,3,2,72,1,3937,625,1368,0,2,5641,0.000316
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","scratchpad",false,false,4,7,2,4,3,4401,389,1377,0,2,4948,0.000294
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","lisp",true,false,2,1,0,3,3,1492,232,857,0,2,2100,0.000119
"qwen8b","qwen/qwen3-8b","incident-commander","scratchpad",false,true,0,0,0,0,0,0,0,0,0,2,4721,0.000000
"qwen8b","qwen/qwen3-8b","incident-commander","lisp",false,true,0,0,0,0,0,0,0,0,0,2,3176,0.000000
"qwen8b","qwen/qwen3-8b","heavy-pr-audit","scratchpad",false,true,0,0,0,0,0,0,0,0,0,2,2868,0.000000
"qwen8b","qwen/qwen3-8b","heavy-pr-audit","lisp",false,true,0,0,0,0,0,0,0,0,0,2,2921,0.000000
"qwen8b","qwen/qwen3-8b","needle-sweep","scratchpad",false,true,0,0,0,0,0,0,0,0,0,2,2642,0.000000
"qwen8b","qwen/qwen3-8b","needle-sweep","lisp",false,true,3,3,3,1,1,2618,3975,1113,0,2,65674,0.002103
