modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","pyrepl",true,false,4,3,0,13,10,12277,256,3625,0,1,13611,0.002899
"deepseek","deepseek/deepseek-v3.2","count-open-prs","jsrepl",true,false,4,3,0,13,10,11815,269,3577,0,1,12727,0.002798
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lispfns",true,false,5,4,0,13,10,12903,282,3081,0,1,16512,0.003052
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","pyrepl",true,false,5,4,0,13,10,15564,462,3739,0,1,18737,0.003723
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","jsrepl",true,false,8,7,3,14,10,26738,1219,4369,0,1,38763,0.006541
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lispfns",true,false,5,4,0,13,10,13078,432,3168,0,1,18320,0.003143
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","pyrepl",true,false,8,7,0,14,10,32813,1178,6001,0,1,34375,0.007918
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","jsrepl",true,false,13,12,4,18,10,63460,2793,7491,0,1,97107,0.015490
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lispfns",true,false,7,6,0,14,10,21251,1011,4396,0,1,31991,0.005213
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","pyrepl",true,false,6,5,0,14,10,20414,943,4517,0,1,26424,0.004998
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","jsrepl",true,false,6,5,1,13,10,21259,1793,5202,0,1,50477,0.005483
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lispfns",true,false,6,5,0,13,10,17267,829,3743,0,1,32250,0.004238
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","pyrepl",true,false,5,4,0,13,10,15785,551,3847,0,1,23372,0.003804
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","jsrepl",true,false,8,7,3,13,10,26811,846,4159,0,1,36697,0.006430
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","lispfns",true,false,5,4,0,13,10,13491,531,3275,0,1,22777,0.003272
"deepseek","deepseek/deepseek-v3.2","email-top-error","pyrepl",true,false,5,4,0,14,10,15866,695,3931,0,1,29219,0.003872
"deepseek","deepseek/deepseek-v3.2","email-top-error","jsrepl",true,false,6,5,1,14,10,20806,1369,4826,0,1,55013,0.005234
"deepseek","deepseek/deepseek-v3.2","email-top-error","lispfns",true,false,10,9,0,14,10,31313,995,3992,0,1,48361,0.007512
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","pyrepl",true,false,10,9,0,22,10,42318,1493,5816,0,1,60467,0.010203
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","jsrepl",true,false,10,9,1,24,10,44599,2175,6809,0,1,53018,0.010959
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","lispfns",true,false,10,9,0,25,10,33858,1130,4681,0,1,53950,0.008141
"deepseek","deepseek/deepseek-v3.2","incident-branch","pyrepl",true,false,7,6,0,14,10,24508,741,4399,0,1,31492,0.005866
"deepseek","deepseek/deepseek-v3.2","incident-branch","jsrepl",true,false,8,7,2,14,10,29363,1477,5029,0,1,65310,0.007231
"deepseek","deepseek/deepseek-v3.2","incident-branch","lispfns",true,false,8,7,1,15,10,24250,1028,3921,0,1,49298,0.005906
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","pyrepl",true,false,4,3,0,13,10,12630,569,3908,0,1,21247,0.003087
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","jsrepl",true,false,7,6,3,13,10,23744,1445,4476,0,1,63872,0.005933
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","lispfns",true,false,6,5,1,14,10,16886,688,3498,0,1,35795,0.004103
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","pyrepl",true,false,7,6,1,22,10,29521,2430,7254,0,1,81360,0.007594
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","jsrepl",true,false,15,14,5,25,10,92784,6165,11577,0,1,122356,0.023362
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","lispfns",true,false,10,9,2,15,10,37583,2374,6188,0,1,114073,0.009421
"minimax3","minimax/minimax-m3","count-open-prs","pyrepl",true,false,3,2,0,13,10,8127,130,2880,0,1,3458,0.002594
"minimax3","minimax/minimax-m3","count-open-prs","jsrepl",true,false,2,1,0,13,10,4834,122,2454,0,1,3617,0.001597
"minimax3","minimax/minimax-m3","count-open-prs","lispfns",true,false,2,1,0,13,10,4172,90,2116,0,1,14780,0.001360
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","pyrepl",true,false,5,4,0,13,10,14663,268,3246,0,1,5265,0.004720
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","jsrepl",true,false,5,4,0,13,10,14385,322,3203,0,1,7165,0.004702
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","lispfns",true,false,5,4,0,13,10,12725,259,2832,0,1,5933,0.004128
