modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","pyrepl",true,false,2,1,0,13,10,7160,111,3676,0,1,5541,0.001678
"deepseek","deepseek/deepseek-v3.2","count-open-prs","jsrepl",true,false,2,1,0,13,10,6984,90,3549,0,1,4780,0.001630
"deepseek","deepseek/deepseek-v3.2","count-open-prs","lispfns",true,false,2,1,0,13,10,6408,91,3251,0,1,4189,0.001499
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","pyrepl",true,false,5,4,0,13,10,28016,798,6745,0,1,30319,0.006689
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","jsrepl",true,false,7,6,3,13,10,40455,925,6736,0,1,24030,0.009581
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","lispfns",true,false,2,1,0,13,10,6591,170,3429,0,1,8002,0.001568
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","pyrepl",true,false,21,19,1,14,10,123544,2461,8228,1,1,117383,0.029136
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","jsrepl",false,false,3,2,0,23,10,12298,1091,4787,0,1,36435,0.003190
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","lispfns",true,false,13,12,1,14,10,57510,1354,5600,0,1,33921,0.013634
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","pyrepl",true,false,11,10,1,13,10,68594,1019,7425,0,1,47177,0.016058
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","jsrepl",true,false,7,6,4,14,10,28668,1062,4859,0,1,46488,0.006929
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","lispfns",true,false,2,1,0,13,10,6644,190,3475,0,1,7666,0.001587
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","pyrepl",true,false,5,4,0,13,10,28121,511,6845,0,1,26756,0.006615
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","jsrepl",true,false,6,5,3,13,10,27974,948,5394,0,1,19864,0.006731
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","lispfns",true,false,3,2,0,13,10,9924,202,3428,0,1,6379,0.002342
"deepseek","deepseek/deepseek-v3.2","email-top-error","pyrepl",true,false,8,7,0,14,10,47737,1032,7030,0,1,51301,0.011286
"deepseek","deepseek/deepseek-v3.2","email-top-error","jsrepl",true,false,9,8,5,15,10,42046,1649,5704,0,1,81061,0.010194
"deepseek","deepseek/deepseek-v3.2","email-top-error","lispfns",true,false,4,3,0,14,10,14676,701,4080,0,1,25540,0.003601
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","pyrepl",true,false,9,8,0,22,10,55155,1117,7426,0,1,27244,0.013014
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","jsrepl",true,false,6,5,0,24,10,29027,1282,5983,0,1,62571,0.007087
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","lispfns",true,false,7,6,1,22,10,26719,679,4469,0,1,23280,0.006352
"deepseek","deepseek/deepseek-v3.2","incident-branch","pyrepl",true,false,5,4,0,14,10,19655,517,4244,0,1,23078,0.004678
"deepseek","deepseek/deepseek-v3.2","incident-branch","jsrepl",true,false,3,2,0,14,10,11266,442,4022,0,1,22815,0.002732
"deepseek","deepseek/deepseek-v3.2","incident-branch","lispfns",true,false,4,3,0,14,10,14100,470,3805,0,1,17913,0.003390
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","pyrepl",false,false,3,2,1,13,10,11364,540,4100,0,1,11698,0.002788
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","jsrepl",true,false,6,5,3,14,10,25403,1369,5002,0,1,49381,0.006287
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","lispfns",true,false,2,1,0,13,10,6724,267,3545,0,1,10086,0.001631
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","pyrepl",true,false,19,17,0,17,10,115260,2834,8633,1,1,109168,0.027367
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","jsrepl",true,false,12,11,7,23,10,68251,4055,8702,0,1,136957,0.017020
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","lispfns",true,false,18,17,4,15,10,83922,1937,6144,0,1,79453,0.019883
"minimax3","minimax/minimax-m3","count-open-prs","pyrepl",true,false,2,1,0,13,10,6922,105,3497,0,1,2547,0.002203
"minimax3","minimax/minimax-m3","count-open-prs","jsrepl",true,false,2,1,0,13,10,6848,107,3461,0,1,2231,0.002183
"minimax3","minimax/minimax-m3","count-open-prs","lispfns",true,false,2,1,0,13,10,6294,76,3177,0,1,2123,0.001979
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","pyrepl",true,false,2,1,0,13,10,7034,162,3606,0,1,3081,0.002305
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","jsrepl",false,false,2,1,0,13,10,6922,129,3532,0,1,2509,0.002231
"minimax3","minimax/minimax-m3","sentry-billing-unresolved","lispfns",true,false,2,1,0,13,10,6491,149,3371,0,1,2065,0.002126
"minimax3","minimax/minimax-m3","merged-prs-open-linear","pyrepl",true,false,4,3,1,27,10,15755,678,4496,0,1,8660,0.005540
"minimax3","minimax/minimax-m3","merged-prs-open-linear","jsrepl",true,false,3,2,0,23,10,12196,652,5144,0,1,7209,0.004441
"minimax3","minimax/minimax-m3","merged-prs-open-linear","lispfns",true,false,9,8,3,22,10,40223,1534,6518,0,1,20786,0.013908
"minimax3","minimax/minimax-m3","busiest-assignee","pyrepl",true,false,3,2,1,13,10,10687,241,3719,0,1,3934,0.003495
"minimax3","minimax/minimax-m3","busiest-assignee","jsrepl",true,false,5,4,2,14,10,18402,531,4007,0,1,7404,0.006158
"minimax3","minimax/minimax-m3","busiest-assignee","lispfns",true,false,2,1,0,13,10,6386,197,3259,0,1,3844,0.002152
"minimax3","minimax/minimax-m3","high-urgency-triggered","pyrepl",false,false,2,1,0,13,10,7029,156,3597,0,1,2936,0.002296
"minimax3","minimax/minimax-m3","high-urgency-triggered","jsrepl",true,false,2,1,0,13,10,7146,227,3752,0,1,2557,0.002416
"minimax3","minimax/minimax-m3","high-urgency-triggered","lispfns",true,false,2,1,0,13,10,6346,156,3222,0,1,2669,0.002091
"minimax3","minimax/minimax-m3","email-top-error","pyrepl",true,false,3,2,0,14,10,10818,314,3752,0,1,4261,0.003622
"minimax3","minimax/minimax-m3","email-top-error","jsrepl",true,false,3,2,0,14,10,10983,435,3877,0,1,4797,0.003817
"minimax3","minimax/minimax-m3","email-top-error","lispfns",true,false,17,16,9,22,10,71057,1455,5392,0,1,24705,0.023063
"minimax3","minimax/minimax-m3","compose-verify-issues","pyrepl",true,false,4,3,0,22,10,15750,614,4293,0,1,10380,0.005462
"minimax3","minimax/minimax-m3","compose-verify-issues","jsrepl",true,false,4,3,0,23,10,15500,927,4477,0,1,9194,0.005762
"minimax3","minimax/minimax-m3","compose-verify-issues","lispfns",true,false,4,3,0,22,10,14202,475,4140,0,1,5778,0.004831
"minimax3","minimax/minimax-m3","incident-branch","pyrepl",true,false,2,1,0,14,10,7259,308,3759,0,1,3713,0.002547
"minimax3","minimax/minimax-m3","incident-branch","jsrepl",true,false,3,2,0,14,10,10808,226,3755,0,1,4068,0.003514
"minimax3","minimax/minimax-m3","incident-branch","lispfns",true,false,3,2,1,15,10,10366,608,3727,0,1,6751,0.003839
"minimax3","minimax/minimax-m3","open-prs-breakdown","pyrepl",true,false,4,3,1,14,10,14952,1078,4086,0,1,11230,0.005779
