modelKey,model,scenario,arm,ok,errored,turns,toolCalls,toolErrors,mcpRoundTrips,servicesTouched,tokensIn,tokensOut,peakContextTokens,compactions,toolsInContext,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","count-open-prs","scratchpad",true,false,2,1,0,1,1,3336,94,1747,0,2,8497,0.000796
"deepseek","deepseek/deepseek-v3.2","sentry-billing-unresolved","scratchpad",true,false,5,4,0,3,1,12912,523,3344,0,2,30802,0.003136
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","scratchpad",true,false,9,8,0,6,2,24634,1179,4517,0,2,57777,0.006046
"deepseek","deepseek/deepseek-v3.2","busiest-assignee","scratchpad",true,false,3,2,0,1,1,5515,289,2058,0,2,14770,0.001362
"deepseek","deepseek/deepseek-v3.2","high-urgency-triggered","scratchpad",true,false,3,2,0,1,1,5598,359,2187,0,2,18989,0.001405
"deepseek","deepseek/deepseek-v3.2","email-top-error","scratchpad",true,false,6,5,0,3,2,13000,691,2719,0,2,28189,0.003214
"deepseek","deepseek/deepseek-v3.2","compose-verify-issues","scratchpad",true,false,8,7,0,19,1,21537,902,3715,0,2,44605,0.005241
"glm","z-ai/glm-4.7-flash","count-open-prs","scratchpad",true,false,3,2,0,1,1,4432,181,1555,0,2,8297,0.000338
"glm","z-ai/glm-4.7-flash","sentry-billing-unresolved","scratchpad",false,false,3,2,0,1,1,4766,1270,1799,0,2,30307,0.000794
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","scratchpad",true,false,3,3,0,2,2,5366,756,2171,0,2,40040,0.000624
"glm","z-ai/glm-4.7-flash","busiest-assignee","scratchpad",false,false,2,1,0,0,0,2869,242,1457,0,2,20521,0.000269
"glm","z-ai/glm-4.7-flash","high-urgency-triggered","scratchpad",false,false,3,2,0,1,1,4603,327,1643,0,2,16640,0.000407
"glm","z-ai/glm-4.7-flash","email-top-error","scratchpad",false,false,4,3,0,2,2,7206,534,2034,0,2,11837,0.000646
"glm","z-ai/glm-4.7-flash","compose-verify-issues","scratchpad",true,false,8,7,0,20,1,15014,982,2249,0,2,22284,0.001294
"xiaomi","xiaomi/mimo-v2.5","count-open-prs","scratchpad",true,false,2,1,0,1,1,3179,93,1639,0,2,3951,0.000360
"xiaomi","xiaomi/mimo-v2.5","sentry-billing-unresolved","scratchpad",true,false,3,2,0,1,1,5196,299,1931,0,2,9558,0.000629
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","scratchpad",true,false,4,3,0,2,2,7919,577,2442,0,2,13010,0.000993
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","scratchpad",true,false,5,4,0,3,1,9277,432,2181,0,2,15312,0.001095
"xiaomi","xiaomi/mimo-v2.5","high-urgency-triggered","scratchpad",true,false,5,4,0,3,1,9458,530,2385,0,2,11370,0.001141
"xiaomi","xiaomi/mimo-v2.5","email-top-error","scratchpad",false,false,5,4,0,2,2,9244,386,2113,0,2,10493,0.001079
"xiaomi","xiaomi/mimo-v2.5","compose-verify-issues","scratchpad",true,false,6,6,0,18,1,13263,1030,2658,0,2,20371,0.001681
"minimax","minimax/minimax-m2.5","count-open-prs","scratchpad",true,false,2,1,0,1,1,2911,123,1507,0,2,4233,0.000408
"minimax","minimax/minimax-m2.5","sentry-billing-unresolved","scratchpad",true,false,2,1,0,1,1,2980,203,1573,0,2,18102,0.000455
"minimax","minimax/minimax-m2.5","merged-prs-open-linear","scratchpad",true,false,8,7,0,9,2,17119,1024,2945,0,2,52988,0.002546
"minimax","minimax/minimax-m2.5","busiest-assignee","scratchpad",true,false,3,2,0,1,1,4733,267,1723,0,2,6617,0.000696
"minimax","minimax/minimax-m2.5","high-urgency-triggered","scratchpad",false,false,2,1,0,1,1,2941,195,1530,0,2,11728,0.000447
"minimax","minimax/minimax-m2.5","email-top-error","scratchpad",false,false,4,3,0,3,2,6663,465,1897,0,2,5400,0.001023
"minimax","minimax/minimax-m2.5","compose-verify-issues","scratchpad",true,false,4,3,0,16,1,8141,903,2780,0,2,9250,0.001410
"kimi","moonshotai/kimi-k2.5","count-open-prs","scratchpad",true,false,3,2,0,1,1,4081,189,1489,0,2,9219,0.001913
"kimi","moonshotai/kimi-k2.5","sentry-billing-unresolved","scratchpad",false,false,3,2,0,1,1,4275,408,1699,0,2,14069,0.002429
"kimi","moonshotai/kimi-k2.5","merged-prs-open-linear","scratchpad",true,false,3,3,0,2,2,4858,628,2050,0,2,25180,0.003093
"kimi","moonshotai/kimi-k2.5","busiest-assignee","scratchpad",true,false,3,2,0,1,1,4101,268,1512,0,2,10321,0.002081
"kimi","moonshotai/kimi-k2.5","high-urgency-triggered","scratchpad",false,false,3,2,0,1,1,4002,223,1451,0,2,9111,0.001952
"kimi","moonshotai/kimi-k2.5","email-top-error","scratchpad",false,false,4,3,0,2,2,5780,844,1640,0,2,28603,0.003877
"kimi","moonshotai/kimi-k2.5","compose-verify-issues","scratchpad",true,false,6,7,0,19,1,12727,942,2905,0,2,46743,0.006680
